Model,ticker,evtdate,DATE,evttime,ret,abret
Fama-French Plus Momentum,ACUR,31OCT2011,20OCT2011,-7,0.0057471669,-0.013916562
Fama-French Plus Momentum,ACUR,31OCT2011,21OCT2011,-6,-0.062857129,-0.080250652
Fama-French Plus Momentum,ACUR,31OCT2011,24OCT2011,-5,-0.036585428,-0.055648293
Fama-French Plus Momentum,ACUR,31OCT2011,25OCT2011,-4,-0.031645492,-0.03343941
Fama-French Plus Momentum,ACUR,31OCT2011,26OCT2011,-3,-0.013071883,-0.046018506
Fama-French Plus Momentum,ACUR,31OCT2011,27OCT2011,-2,0.0551876351,0.0233061276
Fama-French Plus Momentum,ACUR,31OCT2011,28OCT2011,-1,-0.03347287,-0.033604258
Fama-French Plus Momentum,ACUR,31OCT2011,31OCT2011,0,-0.038961004,-0.046568748
Fama-French Plus Momentum,ACUR,31OCT2011,01NOV2011,1,-0.065315306,-0.061349981
Fama-French Plus Momentum,ACUR,31OCT2011,02NOV2011,2,-0.038554236,-0.073441467
Fama-French Plus Momentum,ACUR,31OCT2011,03NOV2011,3,0.050125327,0.0295148353
Fama-French Plus Momentum,ACUR,31OCT2011,04NOV2011,4,-0.035799544,-0.040492505
Fama-French Plus Momentum,ACUR,31OCT2011,07NOV2011,5,-0.044554472,-0.057942609
Fama-French Plus Momentum,ACUR,31OCT2011,08NOV2011,6,0.0544042177,0.0342010859
Fama-French Plus Momentum,ACUR,31OCT2011,09NOV2011,7,-0.012285058,-0.010719226
Fama-French Plus Momentum,ACUR,31OCT2011,10NOV2011,8,-0.014925359,-0.039406839
Fama-French Plus Momentum,AYE,07FEB2006,27JAN2006,-7,0.0023182218,-0.011992043
Fama-French Plus Momentum,AYE,07FEB2006,30JAN2006,-6,0.0014454824,-0.010954471
Fama-French Plus Momentum,AYE,07FEB2006,31JAN2006,-5,0.0043302984,0.0029581263
Fama-French Plus Momentum,AYE,07FEB2006,01FEB2006,-4,0.0074733635,0.0014246381
Fama-French Plus Momentum,AYE,07FEB2006,02FEB2006,-3,-0.008273921,-0.003358662
Fama-French Plus Momentum,AYE,07FEB2006,03FEB2006,-2,-0.004890626,-0.00556057
Fama-French Plus Momentum,AYE,07FEB2006,06FEB2006,-1,0.0002890524,-0.014847983
Fama-French Plus Momentum,AYE,07FEB2006,07FEB2006,0,0.0063584172,0.0153109215
Fama-French Plus Momentum,AYE,07FEB2006,08FEB2006,1,0.0051694517,-0.004836267
Fama-French Plus Momentum,AYE,07FEB2006,09FEB2006,2,-0.007142857,-0.007001199
Fama-French Plus Momentum,AYE,07FEB2006,10FEB2006,3,-0.040287815,-0.047229012
Fama-French Plus Momentum,AYE,07FEB2006,13FEB2006,4,-0.011394221,-0.014306736
Fama-French Plus Momentum,AYE,07FEB2006,14FEB2006,5,0.0203214474,0.0064365246
Fama-French Plus Momentum,AYE,07FEB2006,15FEB2006,6,0.0255648233,0.0218435262
Fama-French Plus Momentum,AYE,07FEB2006,16FEB2006,7,0.0171014536,0.0029090618
Fama-French Plus Momentum,AYE,07FEB2006,17FEB2006,8,0.008549423,-0.001693763
Fama-French Plus Momentum,CLZR,16JAN2009,07JAN2009,-7,-0.10508471,-0.107579982
Fama-French Plus Momentum,CLZR,16JAN2009,08JAN2009,-6,0.041666694,0.04670397
Fama-French Plus Momentum,CLZR,16JAN2009,09JAN2009,-5,0.0545454025,0.0365936315
Fama-French Plus Momentum,CLZR,16JAN2009,12JAN2009,-4,0.1724138409,0.1451607823
Fama-French Plus Momentum,CLZR,16JAN2009,13JAN2009,-3,-0.029411737,-0.055409707
Fama-French Plus Momentum,CLZR,16JAN2009,14JAN2009,-2,-0.227121234,-0.257993138
