Model,ticker,evtdate,cret,car,bhar,nrets
Fama-French Plus Momentum,ACUR,31OCT2011,-0.241379273,-0.505777007,-0.512914684,16
Fama-French Plus Momentum,AYE,07FEB2006,0.0254998865,-0.070897908,-0.076508965,16
Fama-French Plus Momentum,CLZR,16JAN2009,-0.033898279,-0.120064555,-0.218065093,16
Fama-French Plus Momentum,FBP,24JUL2007,-0.191369608,-0.025023529,-0.021565734,16
Fama-French Plus Momentum,AIM,09AUG2005,0.148545145,0.2682359474,0.2337306812,16
Fama-French Plus Momentum,KO,03JUL2008,-0.017273719,-0.009671656,-0.009956968,16
Fama-French Plus Momentum,CDNS,15JUN2011,-0.029383927,0.0044040837,0.0055095218,16
Fama-French Plus Momentum,CBM,20DEC2007,-0.073459648,0.1525592691,0.1242475573,16
Fama-French Plus Momentum,WM,04NOV2011,-0.080873717,-0.107974207,-0.104885529,16
Fama-French Plus Momentum,WM,05JUN2012,-0.008832682,-0.010957227,-0.010849875,16
Fama-French Plus Momentum,IBM,30MAY2008,-0.025614656,-0.022087641,-0.022851783,16
Fama-French Plus Momentum,AAPL,28SEP2010,0.0632751176,0.0211279093,0.0211092557,16
Fama-French Plus Momentum,BPOP,17JUN2011,0.0314814949,0.0488516411,0.0463490787,16
Fama-French Plus Momentum,CVS,06JUN2005,0.0694545398,0.0700178524,0.0715161657,16
Fama-French Plus Momentum,BMY,02MAR2006,-0.007365686,-0.007106624,-0.007550271,16
Fama-French Plus Momentum,BMY,18AUG2009,0.0179475996,0.0036467639,0.0033312453,16
Fama-French Plus Momentum,LMT,15FEB2013,0.024545469,0.0376451119,0.0376749206,16
Fama-French Plus Momentum,NEM,20OCT2006,0.0949532927,0.2624903063,0.2521955548,16
Fama-French Plus Momentum,CMS,22MAY2007,-0.009274418,-0.035760812,-0.036745136,16
Fama-French Plus Momentum,TXT,21FEB2006,0.0699173145,0.0388306899,0.0404132179,16
Fama-French Plus Momentum,XEL,14JAN2005,0.019718331,0.0251694114,0.0251250839,16
Fama-French Plus Momentum,WR,31MAY2005,0.04257779,-0.039845649,-0.04252707,16
Fama-French Plus Momentum,DQE,15JUL2005,0.0153276454,0.0076366417,0.0074640915,16
Fama-French Plus Momentum,ILA,18NOV2005,0.0170939985,0.0130291324,0.012710611,16
Fama-French Plus Momentum,IRF,25SEP2009,-0.022443834,-0.142312509,-0.148235899,16
Fama-French Plus Momentum,XRX,27MAR2008,0.0573719559,-0.012997922,-0.013957934,16
Fama-French Plus Momentum,FLS,18DEC2009,-0.008895349,-0.067383045,-0.069678552,16
Fama-French Plus Momentum,WFT,29JAN2014,-0.064757995,0.0481013822,0.04299669,16
Fama-French Plus Momentum,NR,27JUL2007,-0.247753508,-0.108294784,-0.098989478,16
Fama-French Plus Momentum,FITB,20DEC2012,0.0809788413,0.0405145215,0.0425263272,16
Fama-French Plus Momentum,PLL,26APR2012,-0.024705716,0.0490228547,0.0467262903,16
Fama-French Plus Momentum,TE,28JUN2007,-0.001754425,0.0589290472,0.0573480648,16
Fama-French Plus Momentum,BEN,09JUN2011,-0.003392239,0.0192878165,0.0185479203,16
Fama-French Plus Momentum,WMB,05OCT2006,0.0799470571,0.0203970138,0.0196545267,16
Fama-French Plus Momentum,S,14OCT2010,0.0369565419,0.0203989192,0.0193781733,16
Fama-French Plus Momentum,S,14SEP2006,-0.000841715,0.1350898754,0.1279648415,16
Fama-French Plus Momentum,WEDC,06OCT2006,0.0416666244,0.0831082892,0.0822703172,16
Fama-French Plus Momentum,DBD,08NOV2013,0.1205753897,0.1304456385,0.1353592115,16
Fama-French Plus Momentum,HELE,16JAN2008,0.1161247605,0.1203611022,0.0994521489,16
Fama-French Plus Momentum,HRLY,02JUL2010,0.087794397,0.088560964,0.0906182015,16
Fama-French Plus Momentum,FRX,23DEC2008,0.0574760176,-0.073320626,-0.079906292,16
Fama-French Plus Momentum,TYC,07AUG2007,-0.141385007,-0.149778179,-0.138880809,16
Fama-French Plus Momentum,TYC,12FEB2007,-0.015056448,-0.057744552,-0.059516304,16
Fama-French Plus Momentum,MMC,13NOV2009,-0.023534494,-0.094624971,-0.097779287,16
Fama-French Plus Momentum,KLAC,11JAN2008,-0.128529873,-0.095042686,-0.090931752,16
Fama-French Plus Momentum,JPM,23JUN2008,-0.038394573,0.1712638301,0.1520254298,16
Fama-French Plus Momentum,KOSS,06MAR2012,-0.008654894,-0.119434683,-0.130637563,16
Fama-French Plus Momentum,SMTC,10MAR2011,-0.004645291,-0.017058958,-0.025090303,16
Fama-French Plus Momentum,BKR,03APR2009,0.047203515,0.2390963247,0.2154581206,16
Fama-French Plus Momentum,ATX,20JUL2005,0.0691144024,0.1731622034,0.1682879528,16
Fama-French Plus Momentum,MOLX,07NOV2006,-0.062184905,-0.061916441,-0.060806402,16
Fama-French Plus Momentum,NAFC,11MAR2008,0.0041949384,-0.009974635,-0.007877338,16
Fama-French Plus Momentum,TAP,07NOV2008,0.1266734775,0.2219598173,0.2213595165,16
Fama-French Plus Momentum,BAC,30NOV2012,0.1190878078,0.0207074698,0.021280662,16
Fama-French Plus Momentum,RYL,15MAR2007,-0.01033651,-0.06538852,-0.065695913,16
Fama-French Plus Momentum,PARS,14AUG2007,-0.261904756,-0.176531796,-0.172792541,16
Fama-French Plus Momentum,CI,24JAN2007,0.0377545765,-0.015550202,-0.016573153,16
Fama-French Plus Momentum,CHE,06FEB2014,0.0748529772,0.0864195748,0.0803530861,16
Fama-French Plus Momentum,HOV,11SEP2009,-0.167597788,-0.42609102,-0.450347777,16
Fama-French Plus Momentum,COO,29JUL2010,0.072270285,-0.042024829,-0.046484316,16
Fama-French Plus Momentum,T,02MAR2006,-0.033946286,-0.10410118,-0.107175859,16
Fama-French Plus Momentum,TOL,28OCT2010,0.0525738826,0.0358322001,0.0351090479,16
Fama-French Plus Momentum,UNM,30JUL2007,-0.094893982,0.0004989514,-0.006639745,16
Fama-French Plus Momentum,STAA,26MAY2006,-0.051094896,-0.044253796,-0.053155868,16
Fama-French Plus Momentum,RGR,25JAN2012,0.1998885465,-0.020779281,-0.030838649,16
Fama-French Plus Momentum,MBI,06SEP2011,0.2744807732,0.3139011852,0.3369741964,16
Fama-French Plus Momentum,TLAB,05APR2011,-0.007736937,-0.036057812,-0.037614632,16
Fama-French Plus Momentum,BPT,16MAR2009,0.2335061239,0.1898136595,0.2056483917,16
Fama-French Plus Momentum,ABIX,06MAY2005,0.1170019054,0.3865283188,0.2795465185,16
Fama-French Plus Momentum,PRST,11MAR2009,0.4024390046,0.1313254504,0.0664350744,16
Fama-French Plus Momentum,ZIXI,07MAR2008,-0.004950493,0.0509938951,0.0481806379,16
Fama-French Plus Momentum,LSCC,02AUG2006,0.2499999957,0.1871258693,0.207804266,16
Fama-French Plus Momentum,SLR,28NOV2005,0.0312500401,0.0375740429,0.0351322667,16
Fama-French Plus Momentum,CSCO,28AUG2006,0.0308056677,-0.029893622,-0.031494251,16
Fama-French Plus Momentum,THOR,23AUG2006,0.0496102603,-0.177899389,-0.203465589,16
Fama-French Plus Momentum,TTI,21JUL2010,0.1158663531,-0.048391269,-0.050336998,16
Fama-French Plus Momentum,MRX,21SEP2011,-0.071352641,-0.047807158,-0.043601312,16
Fama-French Plus Momentum,REGN,09SEP2005,0.0574712372,0.1871400792,0.1778909476,16
Fama-French Plus Momentum,PNRA,11FEB2011,0.1854373344,0.1961240621,0.198153536,16
Fama-French Plus Momentum,RTK,23MAR2011,0.0163934253,-0.007635121,-0.009620474,16
Fama-French Plus Momentum,SPNC,07SEP2010,0.0426829336,0.0120054366,0.0094310155,16
Fama-French Plus Momentum,GILD,28JUN2010,-0.029879912,0.031194448,0.0294657335,16
Fama-French Plus Momentum,PLMD,09MAY2007,0.0031945908,0.0220893566,0.0210461522,16
Fama-French Plus Momentum,EP,26OCT2006,-0.015086209,0.0746080746,0.0695660312,16
Fama-French Plus Momentum,STEL,24AUG2005,0.1291610244,0.1104439534,0.1157298332,16
Fama-French Plus Momentum,ADAT,27JAN2011,-0.042765947,0.338787453,0.2596432617,16
Fama-French Plus Momentum,SHFL,02FEB2010,0.0065430161,0.0627004243,0.0655528271,16
Fama-French Plus Momentum,CRY,29AUG2005,0.1072423393,0.2247828076,0.2235281213,16
