Model,ticker,evtdate,DATE,evttime,ret,abret
Fama-French Plus Momentum,ACUR,22APR2010,13APR2010,-7,0.0284281056,0.0268639859
Fama-French Plus Momentum,ACUR,22APR2010,14APR2010,-6,-0.014634171,-0.074490992
Fama-French Plus Momentum,ACUR,22APR2010,15APR2010,-5,-0.016501635,-0.019964754
Fama-French Plus Momentum,ACUR,22APR2010,16APR2010,-4,-0.016778508,0.0466830532
Fama-French Plus Momentum,ACUR,22APR2010,19APR2010,-3,0.348122865,0.3324084305
Fama-French Plus Momentum,ACUR,22APR2010,20APR2010,-2,-0.211392418,-0.25324571
Fama-French Plus Momentum,ACUR,22APR2010,21APR2010,-1,-0.052969489,-0.052855633
Fama-French Plus Momentum,ACUR,22APR2010,22APR2010,0,,
Fama-French Plus Momentum,ACUR,22APR2010,23APR2010,1,-0.318644077,-0.356509138
Fama-French Plus Momentum,ACUR,22APR2010,26APR2010,2,-0.022388039,-0.00531219
Fama-French Plus Momentum,ACUR,22APR2010,27APR2010,3,-0.045801543,0.0304511446
Fama-French Plus Momentum,ACUR,22APR2010,28APR2010,4,-0.042666689,-0.069163918
Fama-French Plus Momentum,ACUR,22APR2010,29APR2010,5,0.0222841688,-0.015564568
Fama-French Plus Momentum,ACUR,22APR2010,30APR2010,6,0.002724793,0.0609517556
Fama-French Plus Momentum,ACUR,22APR2010,03MAY2010,7,0.0461956076,-0.001082324
Fama-French Plus Momentum,AYE,08OCT2002,27SEP2002,-7,-0.016067334,0.0365003977
Fama-French Plus Momentum,AYE,08OCT2002,30SEP2002,-6,0.0186625756,0.0851859835
Fama-French Plus Momentum,AYE,08OCT2002,01OCT2002,-5,-0.083969489,-0.157335197
Fama-French Plus Momentum,AYE,08OCT2002,02OCT2002,-4,-0.153333351,-0.102493344
Fama-French Plus Momentum,AYE,08OCT2002,03OCT2002,-3,-0.133858234,-0.102220747
Fama-French Plus Momentum,AYE,08OCT2002,04OCT2002,-2,-0.104545459,-0.066716628
Fama-French Plus Momentum,AYE,08OCT2002,07OCT2002,-1,-0.045685295,-0.030700562
Fama-French Plus Momentum,AYE,08OCT2002,08OCT2002,0,-0.494680852,-0.464147424
Fama-French Plus Momentum,AYE,08OCT2002,09OCT2002,1,0.0657895356,0.1124518193
Fama-French Plus Momentum,AYE,08OCT2002,10OCT2002,2,0.0864197239,-0.004619995
