Model,ticker,evtdate,DATE,evttime,ret,abret
Fama-French Plus Momentum,ACUR,22APR2010,19APR2010,-3,0.348122865,0.3616040891
Fama-French Plus Momentum,ACUR,22APR2010,20APR2010,-2,-0.211392418,-0.222964931
Fama-French Plus Momentum,ACUR,22APR2010,21APR2010,-1,-0.052969489,-0.058796068
Fama-French Plus Momentum,ACUR,22APR2010,22APR2010,0,,
Fama-French Plus Momentum,ACUR,22APR2010,23APR2010,1,-0.318644077,-0.324717129
Fama-French Plus Momentum,ACUR,22APR2010,26APR2010,2,-0.022388039,-0.02201141
Fama-French Plus Momentum,ACUR,22APR2010,27APR2010,3,-0.045801543,-0.034760681
Fama-French Plus Momentum,ACUR,22APR2010,28APR2010,4,-0.042666689,-0.033155126
Fama-French Plus Momentum,ACUR,22APR2010,29APR2010,5,0.0222841688,0.0122000179
Fama-French Plus Momentum,ACUR,22APR2010,30APR2010,6,0.002724793,0.0273604835
Fama-French Plus Momentum,ACUR,22APR2010,03MAY2010,7,0.0461956076,0.0330647117
Fama-French Plus Momentum,ACUR,22APR2010,04MAY2010,8,-0.015584401,0.0082819387
Fama-French Plus Momentum,ACUR,22APR2010,05MAY2010,9,-0.02902372,-0.014018758
Fama-French Plus Momentum,ACUR,22APR2010,06MAY2010,10,-0.035326116,-0.012816209
Fama-French Plus Momentum,AYE,08OCT2002,03OCT2002,-3,-0.133858234,-0.124510173
Fama-French Plus Momentum,AYE,08OCT2002,04OCT2002,-2,-0.104545459,-0.091295787
Fama-French Plus Momentum,AYE,08OCT2002,07OCT2002,-1,-0.045685295,-0.040202261
Fama-French Plus Momentum,AYE,08OCT2002,08OCT2002,0,-0.494680852,-0.499232165
Fama-French Plus Momentum,AYE,08OCT2002,09OCT2002,1,0.0657895356,0.0772039187
Fama-French Plus Momentum,AYE,08OCT2002,10OCT2002,2,0.0864197239,0.0543765969
Fama-French Plus Momentum,AYE,08OCT2002,11OCT2002,3,0.0727272034,0.0446785419
Fama-French Plus Momentum,AYE,08OCT2002,14OCT2002,4,0.0063559772,0.0070466976
Fama-French Plus Momentum,AYE,08OCT2002,15OCT2002,5,-0.010526356,-0.040161111
Fama-French Plus Momentum,AYE,08OCT2002,16OCT2002,6,-0.061702121,-0.044236906
Fama-French Plus Momentum,AYE,08OCT2002,17OCT2002,7,0.0702947751,0.0634587187
Fama-French Plus Momentum,AYE,08OCT2002,18OCT2002,8,0.0381356589,0.0356635777
Fama-French Plus Momentum,AYE,08OCT2002,21OCT2002,9,0.2653060555,0.2516316696
Fama-French Plus Momentum,AYE,08OCT2002,22OCT2002,10,-0.03709678,-0.037468945
Fama-French Plus Momentum,CLZR,21AUG2006,16AUG2006,-3,0.0174110178,-0.004982058
Fama-French Plus Momentum,CLZR,21AUG2006,17AUG2006,-2,0.0074405046,-0.00155368
Fama-French Plus Momentum,CLZR,21AUG2006,18AUG2006,-1,0.0428360365,0.0410281851
Fama-French Plus Momentum,CLZR,21AUG2006,21AUG2006,0,0.0262039583,0.0371617999
Fama-French Plus Momentum,CLZR,21AUG2006,22AUG2006,1,-0.287094533,-0.292615856
Fama-French Plus Momentum,CLZR,21AUG2006,23AUG2006,2,-0.019361066,-0.004337891
Fama-French Plus Momentum,CLZR,21AUG2006,24AUG2006,3,0.0049358527,0.0052460155
Fama-French Plus Momentum,CLZR,21AUG2006,25AUG2006,4,-0.011787808,-0.015022117
Fama-French Plus Momentum,CLZR,21AUG2006,28AUG2006,5,0.0039761392,-0.0101274
Fama-French Plus Momentum,CLZR,21AUG2006,29AUG2006,6,0.017821718,-0.000786567
Fama-French Plus Momentum,CLZR,21AUG2006,30AUG2006,7,0.0223735888,0.0071201352
Fama-French Plus Momentum,CLZR,21AUG2006,31AUG2006,8,-0.007611791,-0.007989083
Fama-French Plus Momentum,CLZR,21AUG2006,01SEP2006,9,-0.005752677,-0.008076881
Fama-French Plus Momentum,CLZR,21AUG2006,05SEP2006,10,-0.014464766,-0.025319824
Fama-French Plus Momentum,T,22AUG2002,19AUG2002,-3,0.0296651125,-0.010194763
Fama-French Plus Momentum,T,22AUG2002,20AUG2002,-2,0.0390334651,0.0388562464
Fama-French Plus Momentum,T,22AUG2002,21AUG2002,-1,0.0894454345,0.0436983522
Fama-French Plus Momentum,T,22AUG2002,22AUG2002,0,0.0164203458,-0.010369967
Fama-French Plus Momentum,T,22AUG2002,23AUG2002,1,-0.012924058,0.0233562606
Fama-French Plus Momentum,T,22AUG2002,26AUG2002,2,0.0302782226,0.0125406336
Fama-French Plus Momentum,T,22AUG2002,27AUG2002,3,-0.038919758,-0.043583237
Fama-French Plus Momentum,T,22AUG2002,28AUG2002,4,-0.002479396,0.019258071
Fama-French Plus Momentum,T,22AUG2002,29AUG2002,5,0.0240265094,0.0426164805
Fama-French Plus Momentum,T,22AUG2002,30AUG2002,6,-0.011326812,-0.015576839
Fama-French Plus Momentum,T,22AUG2002,03SEP2002,7,-0.083469756,-0.030040882
Fama-French Plus Momentum,T,22AUG2002,04SEP2002,8,0.0446428582,0.0310741205
Fama-French Plus Momentum,T,22AUG2002,05SEP2002,9,0.0076923207,0.0339019016
Fama-French Plus Momentum,T,22AUG2002,06SEP2002,10,0.0347752199,0.0125563128
Fama-French Plus Momentum,FBP,25AUG2005,22AUG2005,-3,-0.026202917,-0.034819223
Fama-French Plus Momentum,FBP,25AUG2005,23AUG2005,-2,0,0.0052636947
Fama-French Plus Momentum,FBP,25AUG2005,24AUG2005,-1,-0.009784773,-0.007008349
Fama-French Plus Momentum,FBP,25AUG2005,25AUG2005,0,-0.010869531,-0.01606567
Fama-French Plus Momentum,FBP,25AUG2005,26AUG2005,1,-0.089410633,-0.072608235
Fama-French Plus Momentum,FBP,25AUG2005,29AUG2005,2,0.0065826024,-0.003934205
Fama-French Plus Momentum,FBP,25AUG2005,30AUG2005,3,-0.011989167,-0.008294964
Fama-French Plus Momentum,FBP,25AUG2005,31AUG2005,4,0.0182018727,-0.001662105
Fama-French Plus Momentum,FBP,25AUG2005,01SEP2005,5,-0.003250242,-0.005736722
Fama-French Plus Momentum,FBP,25AUG2005,02SEP2005,6,-0.004891313,0.0040984565
Fama-French Plus Momentum,FBP,25AUG2005,06SEP2005,7,0.0049153552,-0.010220811
Fama-French Plus Momentum,FBP,25AUG2005,07SEP2005,8,0,-0.002648906
Fama-French Plus Momentum,FBP,25AUG2005,08SEP2005,9,-0.00271735,0.005480228
Fama-French Plus Momentum,FBP,25AUG2005,09SEP2005,10,-0.00490464,-0.013654687
Fama-French Plus Momentum,AIM,17MAR2003,12MAR2003,-3,0.0133779142,0.0136378085
Fama-French Plus Momentum,AIM,17MAR2003,13MAR2003,-2,-0.009240884,-0.011748473
Fama-French Plus Momentum,AIM,17MAR2003,14MAR2003,-1,0.0073284246,0.006829488
Fama-French Plus Momentum,AIM,17MAR2003,17MAR2003,0,-0.179894194,-0.182103601
Fama-French Plus Momentum,AIM,17MAR2003,18MAR2003,1,-0.185483813,-0.182001963
Fama-French Plus Momentum,AIM,17MAR2003,19MAR2003,2,0.0089108115,0.007597465
Fama-French Plus Momentum,AIM,17MAR2003,20MAR2003,3,0.0206084438,0.0216443095
Fama-French Plus Momentum,AIM,17MAR2003,21MAR2003,4,0.0288461726,0.0259384141
Fama-French Plus Momentum,AIM,17MAR2003,24MAR2003,5,-0.064485945,-0.059422914
Fama-French Plus Momentum,AIM,17MAR2003,25MAR2003,6,0.0089910245,0.0086894715
Fama-French Plus Momentum,AIM,17MAR2003,26MAR2003,7,-0.009901027,-0.009030199
Fama-French Plus Momentum,AIM,17MAR2003,27MAR2003,8,0,0.0015569372
Fama-French Plus Momentum,AIM,17MAR2003,28MAR2003,9,-0.001000023,-0.000427991
Fama-French Plus Momentum,AIM,17MAR2003,31MAR2003,10,-0.023022978,-0.01988599
Fama-French Plus Momentum,KO,06MAR2000,01MAR2000,-3,0.0488431863,0.0590354599
Fama-French Plus Momentum,KO,06MAR2000,02MAR2000,-2,-0.026960785,-0.007700385
Fama-French Plus Momentum,KO,06MAR2000,03MAR2000,-1,0.0100755664,0.0171950163
Fama-French Plus Momentum,KO,06MAR2000,06MAR2000,0,-0.022443891,0.0090308564
Fama-French Plus Momentum,KO,06MAR2000,07MAR2000,1,-0.029336736,-0.000802228
Fama-French Plus Momentum,KO,06MAR2000,08MAR2000,2,-0.00131406,-0.017437927
Fama-French Plus Momentum,KO,06MAR2000,09MAR2000,3,-0.018421052,-0.025565241
Fama-French Plus Momentum,KO,06MAR2000,10MAR2000,4,-0.024128687,-0.013904756
Fama-French Plus Momentum,KO,06MAR2000,13MAR2000,5,-0.034725275,-0.05070415
Fama-French Plus Momentum,KO,06MAR2000,14MAR2000,6,-0.008571428,-0.028822431
Fama-French Plus Momentum,KO,06MAR2000,15MAR2000,7,0.0965417847,0.0009984063
Fama-French Plus Momentum,KO,06MAR2000,16MAR2000,8,0.0459921174,-0.018856932
Fama-French Plus Momentum,KO,06MAR2000,17MAR2000,9,-0.012562814,0.0047284167
Fama-French Plus Momentum,KO,06MAR2000,20MAR2000,10,-0.011450382,-0.02768159
Fama-French Plus Momentum,CDNS,22OCT2008,17OCT2008,-3,0.0488372147,0.0562983308
Fama-French Plus Momentum,CDNS,22OCT2008,20OCT2008,-2,0.0598669536,0.0311186547
Fama-French Plus Momentum,CDNS,22OCT2008,21OCT2008,-1,-0.050209254,-0.023706818
Fama-French Plus Momentum,CDNS,22OCT2008,22OCT2008,0,-0.048458103,-0.000190033
Fama-French Plus Momentum,CDNS,22OCT2008,23OCT2008,1,-0.254629642,-0.243038029
Fama-French Plus Momentum,CDNS,22OCT2008,24OCT2008,2,-0.099378861,-0.068632277
Fama-French Plus Momentum,CDNS,22OCT2008,27OCT2008,3,0.0517240874,0.0837796837
Fama-French Plus Momentum,CDNS,22OCT2008,28OCT2008,4,0.1442623138,0.0755404037
Fama-French Plus Momentum,CDNS,22OCT2008,29OCT2008,5,-0.051575951,-0.05227052
Fama-French Plus Momentum,CDNS,22OCT2008,30OCT2008,6,0.2265861034,0.2001070927
Fama-French Plus Momentum,CDNS,22OCT2008,31OCT2008,7,0.0024631105,-0.016786654
Fama-French Plus Momentum,CDNS,22OCT2008,03NOV2008,8,0.0786240026,0.0804877561
Fama-French Plus Momentum,CDNS,22OCT2008,04NOV2008,9,0.1275626272,0.1043765421
Fama-French Plus Momentum,CDNS,22OCT2008,05NOV2008,10,-0.12323226,-0.076458635
Fama-French Plus Momentum,CBM,25JUL2003,22JUL2003,-3,0.006573535,-0.010343787
Fama-French Plus Momentum,CBM,25JUL2003,23JUL2003,-2,0.0248979833,0.0150708594
Fama-French Plus Momentum,CBM,25JUL2003,24JUL2003,-1,0.0035842354,0.0101096832
Fama-French Plus Momentum,CBM,25JUL2003,25JUL2003,0,-0.201984122,-0.216690582
Fama-French Plus Momentum,CBM,25JUL2003,28JUL2003,1,0.0412729941,0.0316589164
Fama-French Plus Momentum,CBM,25JUL2003,29JUL2003,2,-0.013849136,-0.011392455
Fama-French Plus Momentum,CBM,25JUL2003,30JUL2003,3,0.026634438,0.0319744447
Fama-French Plus Momentum,CBM,25JUL2003,31JUL2003,4,-0.000943418,-0.007200698
Fama-French Plus Momentum,CBM,25JUL2003,01AUG2003,5,-0.003777145,0.0240736441
