Model,ticker,evtdate,cret,car,bhar,nrets
Fama-French Plus Momentum,ACUR,22APR2010,-0.394197966,-0.280729071,-0.329599202,13
Fama-French Plus Momentum,AYE,08OCT2002,-0.412401581,-0.343047627,-0.472291272,14
Fama-French Plus Momentum,CLZR,21AUG2006,-0.226343651,-0.280255221,-0.305577747,14
Fama-French Plus Momentum,T,22AUG2002,0.1674641214,0.1480926903,0.1541805702,14
Fama-French Plus Momentum,FBP,25AUG2005,-0.130061912,-0.161811498,-0.157214925,14
Fama-French Plus Momentum,AIM,17MAR2003,-0.347157163,-0.378727236,-0.340900957,14
Fama-French Plus Momentum,KO,06MAR2000,0.0025953695,-0.100487485,-0.106686278,14
Fama-French Plus Momentum,CDNS,22OCT2008,0.0093023183,0.1506254978,0.0537206813,14
Fama-French Plus Momentum,CBM,25JUL2003,-0.115411833,-0.055909235,-0.073966341,14
Fama-French Plus Momentum,IBM,15APR2005,-0.113921112,-0.098184819,-0.096730974,14
Fama-French Plus Momentum,S,16NOV2004,0.2131241745,0.1881527305,0.1917016163,14
Fama-French Plus Momentum,S,17OCT2002,-0.197432793,-0.193659977,-0.245140056,14
Fama-French Plus Momentum,AAPL,11AUG2006,0.0229132698,-0.043475507,-0.046900313,14
Fama-French Plus Momentum,BPOP,22JAN2009,-0.531697306,-0.406157757,-0.42131248,14
Fama-French Plus Momentum,CVS,27JUN2001,-0.143642744,-0.15837113,-0.167633082,14
Fama-French Plus Momentum,BMY,08AUG2006,-0.078092032,-0.098647679,-0.10008083,14
Fama-French Plus Momentum,BMY,19APR2000,-0.217105262,-0.138012776,-0.142408328,14
Fama-French Plus Momentum,LMT,21JUL2009,-0.071138448,-0.118613627,-0.121591959,14
Fama-French Plus Momentum,NEM,26APR2005,-0.089519705,-0.100920712,-0.099818873,14
Fama-French Plus Momentum,CMS,10MAY2002,-0.091315149,-0.053750123,-0.079269227,14
Fama-French Plus Momentum,TXT,26SEP2001,-0.112871313,-0.159594199,-0.195936079,14
Fama-French Plus Momentum,XEL,26JUL2002,-0.352688161,-0.20681527,-0.331339688,14
Fama-French Plus Momentum,WR,26DEC2002,-0.059911917,-0.081763972,-0.086192896,14
Fama-French Plus Momentum,DQE,30APR2001,-0.298111945,-0.322390498,-0.299024741,14
Fama-French Plus Momentum,FLR,18FEB1997,-0.174137928,-0.172175155,-0.174155936,14
Fama-French Plus Momentum,IRF,09APR2007,-0.065194516,-0.090755709,-0.091731301,14
Fama-French Plus Momentum,XRX,27JUL2000,-0.099009898,-0.043513838,-0.061954642,14
Fama-French Plus Momentum,FLS,27SEP2002,-0.418685153,-0.293061637,-0.29250527,14
Fama-French Plus Momentum,WFT,01MAR2011,-0.137858293,-0.127069937,-0.122688827,14
Fama-French Plus Momentum,NR,17APR2006,-0.131782942,-0.145130109,-0.158572343,14
Fama-French Plus Momentum,FITB,17JUN2008,-0.298281347,-0.114063872,-0.126996407,14
Fama-French Plus Momentum,PLL,02AUG2007,-0.14548981,-0.146278337,-0.138270002,14
Fama-French Plus Momentum,TE,04FEB2003,-0.121720472,-0.047808654,-0.048588921,14
Fama-French Plus Momentum,BEN,04FEB2004,-0.024969879,-0.049211281,-0.050511678,14
Fama-French Plus Momentum,WMB,29JAN2002,-0.320247924,-0.336261856,-0.323335209,14
Fama-French Plus Momentum,WEDC,09JUN2004,-0.168333381,-0.187297126,-0.183750951,14
Fama-French Plus Momentum,DBD,15JAN2008,0.0499798407,0.1009612526,0.0949912159,14
Fama-French Plus Momentum,HELE,10OCT2005,-0.158095221,-0.125010356,-0.120935771,14
Fama-French Plus Momentum,HRLY,14JUN2006,-0.298820455,-0.23239554,-0.27699487,14
Fama-French Plus Momentum,FRX,01SEP2004,-0.0484875,-0.058744081,-0.063197956,14
Fama-French Plus Momentum,TYC,28MAY2003,0.1545894608,0.0537118093,0.0584622237,14
Fama-French Plus Momentum,MMC,14OCT2004,-0.381731307,-0.400914385,-0.370278427,14
Fama-French Plus Momentum,KLAC,22MAY2006,-0.102134119,-0.039652836,-0.042504009,14
Fama-French Plus Momentum,JPM,01JUL2004,-0.047393787,-0.022214971,-0.021887386,14
Fama-French Plus Momentum,KOSS,21DEC2009,-0.041755778,-0.023326876,0.0256108804,4
Fama-French Plus Momentum,SMTC,19JUL2006,-0.018838287,0.017873996,0.0131526954,14
Fama-French Plus Momentum,BKR,22FEB2008,-0.262141149,-0.292668691,-0.28784401,14
Fama-French Plus Momentum,ATX,22APR1999,-0.09909909,-0.16296886,-0.185910882,14
Fama-French Plus Momentum,MOLX,14FEB2005,-0.112685802,-0.087843028,-0.090265899,14
Fama-French Plus Momentum,NAFC,20OCT2005,-0.240153691,-0.259146905,-0.278982061,14
Fama-French Plus Momentum,BAC,20JAN2009,-0.502347389,-0.189868353,-0.17750172,14
Fama-French Plus Momentum,RYL,07JAN2004,-0.093058462,-0.189671172,-0.203292862,14
Fama-French Plus Momentum,PARS,17DEC2004,-0.628032368,-0.502395476,-0.614407691,14
Fama-French Plus Momentum,CI,24OCT2002,-0.406962054,-0.415950136,-0.403131432,14
Fama-French Plus Momentum,CHE,16NOV2011,-0.043495192,-0.023985207,-0.027503825,14
Fama-French Plus Momentum,HOV,13AUG2007,-0.080816312,-0.006976901,-0.031739877,14
Fama-French Plus Momentum,COO,21NOV2005,-0.260291421,-0.298208598,-0.289704099,14
Fama-French Plus Momentum,TOL,08NOV2005,-0.108074262,-0.17092207,-0.180424701,14
Fama-French Plus Momentum,PPC,24SEP2008,-0.739166662,-0.728928719,-0.508243092,14
Fama-French Plus Momentum,UNM,04FEB2003,-0.236964088,-0.204075407,-0.18779659,14
Fama-French Plus Momentum,STAA,06JAN2004,-0.235294131,-0.334461665,-0.32576845,14
Fama-French Plus Momentum,RGR,29OCT2007,-0.522532816,-0.672746744,-0.567844718,14
Fama-French Plus Momentum,MBI,09JAN2008,-0.223719659,-0.108904515,-0.311048924,14
Fama-French Plus Momentum,TLAB,19JUN2001,-0.318417179,-0.317508496,-0.308647113,14
Fama-French Plus Momentum,BPT,04AUG2006,-0.127872562,-0.066293505,-0.07056326,14
Fama-French Plus Momentum,ABIX,16APR2004,-0.280851069,0.9429524051,-0.246549959,12
Fama-French Plus Momentum,PRST,29SEP2006,-0.324808181,-0.401875679,-0.372320721,14
Fama-French Plus Momentum,ZIXI,04MAY2004,-0.591444487,-0.778841921,-0.541827291,14
Fama-French Plus Momentum,LSCC,19APR2004,-0.246346567,-0.160424385,-0.13578976,14
Fama-French Plus Momentum,SLR,26SEP2002,-0.279187859,-0.091164215,-0.103758418,14
Fama-French Plus Momentum,CSCO,06FEB2001,-0.328881471,-0.198475279,-0.1674034,14
Fama-French Plus Momentum,THOR,29JUN2004,-0.240870746,-0.185076812,-0.192575033,14
Fama-French Plus Momentum,TTI,16OCT2007,-0.139808332,-0.086752064,-0.081306375,14
Fama-French Plus Momentum,MRX,24SEP2008,-0.39070427,-0.309948645,-0.243570915,14
Fama-French Plus Momentum,REGN,31MAR2003,-0.676813805,-0.891041365,-0.718648537,14
Fama-French Plus Momentum,PNRA,26JUL2006,-0.19570818,-0.191969992,-0.181004467,14
Fama-French Plus Momentum,RTK,15DEC2009,-0.226744177,-0.451232507,-0.45686485,14
Fama-French Plus Momentum,SPNC,04SEP2008,-0.448189772,-0.324973092,-0.390654873,14
Fama-French Plus Momentum,GILD,28OCT2003,-0.105948919,-0.150104194,-0.156020801,14
Fama-French Plus Momentum,PLMD,17NOV2000,-0.474637686,-0.385179067,-0.444915322,14
Fama-French Plus Momentum,EP,29MAY2002,-0.377482191,-0.343926297,-0.303921663,14
Fama-French Plus Momentum,STEL,01APR2002,-0.334201413,-0.377849444,-0.340892058,14
Fama-French Plus Momentum,ADAT,27MAY2005,-0.351999984,-0.367030117,-0.305057773,14
