Model,evttime,ret_m,abret_m,abret_t,sar_t,pat_ar,cret_me,car_me,patcar_me,car_te,scar_te,bhar_me
Fama-French Plus Momentum,-3,-0.004640073,-0.003324056,-0.913312899,-1.012887535,-1.962557778,-0.256139524,-0.244651695,-34.05037082,-14.62247249,-14.09996927,-0.244013039
Fama-French Plus Momentum,-2,-0.008014481,-0.006331768,-1.907177773,-1.785697446,-3.027093968,-0.256139524,-0.244651695,-34.05037082,-14.62247249,-14.09996927,-0.244013039
Fama-French Plus Momentum,-1,-0.008174344,-0.006887945,-0.585383534,-1.168277011,-5.712870866,-0.256139524,-0.244651695,-34.05037082,-14.62247249,-14.09996927,-0.244013039
Fama-French Plus Momentum,0,-0.072793611,-0.070079221,-7.886626773,-7.699158201,-40.83805321,-0.256139524,-0.244651695,-34.05037082,-14.62247249,-14.09996927,-0.244013039
Fama-French Plus Momentum,1,-0.133097421,-0.12994785,-10.88296433,-10.65644867,-66.9504757,-0.256139524,-0.244651695,-34.05037082,-14.62247249,-14.09996927,-0.244013039
Fama-French Plus Momentum,2,-0.013133927,-0.014988545,-3.269343306,-3.106759442,-7.481604045,-0.256139524,-0.244651695,-34.05037082,-14.62247249,-14.09996927,-0.244013039
Fama-French Plus Momentum,3,-0.015309374,-0.014125921,-2.996353082,-2.608958794,-6.676582773,-0.256139524,-0.244651695,-34.05037082,-14.62247249,-14.09996927,-0.244013039
Fama-French Plus Momentum,4,0.000450651,-0.000555872,-0.123475106,0.1392335882,0.4779136421,-0.256139524,-0.244651695,-34.05037082,-14.62247249,-14.09996927,-0.244013039
Fama-French Plus Momentum,5,-0.004443711,-0.001580212,-0.403887204,-0.408318399,-0.869782057,-0.256139524,-0.244651695,-34.05037082,-14.62247249,-14.09996927,-0.244013039
Fama-French Plus Momentum,6,0.0014172953,0.0013558661,0.3694889312,1.1693974814,2.5400593316,-0.256139524,-0.244651695,-34.05037082,-14.62247249,-14.09996927,-0.244013039
Fama-French Plus Momentum,7,-0.003955655,-0.003635861,-0.905930904,-0.076642729,-0.144880743,-0.256139524,-0.244651695,-34.05037082,-14.62247249,-14.09996927,-0.244013039
Fama-French Plus Momentum,8,-0.00439249,-0.002571885,-0.630397294,0.0341236407,0.0772245416,-0.256139524,-0.244651695,-34.05037082,-14.62247249,-14.09996927,-0.244013039
Fama-French Plus Momentum,9,0.0073215665,0.0052344148,0.9830227445,1.3095993026,3.5428961181,-0.256139524,-0.244651695,-34.05037082,-14.62247249,-14.09996927,-0.244013039
Fama-French Plus Momentum,10,-0.000328632,0.0009674327,0.2461299171,-0.200637565,-0.379013995,-0.256139524,-0.244651695,-34.05037082,-14.62247249,-14.09996927,-0.244013039
