Model,ticker,evtdate,cret,car,bhar,nrets
Fama-French Plus Momentum,ACUR,22APR2010,-0.356187302,-0.350830859,-0.417098761,14
Fama-French Plus Momentum,AYE,08OCT2002,-0.638867639,-0.631762643,-0.480599913,15
Fama-French Plus Momentum,CLZR,21AUG2006,-0.287940365,-0.493113103,-0.532026316,15
Fama-French Plus Momentum,T,22AUG2002,0.0926829139,0.0565983363,0.0555174358,15
Fama-French Plus Momentum,FBP,25AUG2005,-0.145378585,-0.17904234,-0.166140401,15
Fama-French Plus Momentum,AIM,17MAR2003,-0.33466399,-0.480267456,-0.454137584,15
Fama-French Plus Momentum,KO,06MAR2000,-0.068345092,0.0925240163,0.0779109131,15
Fama-French Plus Momentum,CDNS,22OCT2008,-0.141350127,-0.087017343,-0.151498361,15
Fama-French Plus Momentum,CBM,25JUL2003,-0.112765937,-0.187238994,-0.209075375,15
Fama-French Plus Momentum,IBM,15APR2005,-0.157865348,-0.170187267,-0.161687438,15
Fama-French Plus Momentum,S,16NOV2004,0.4666486987,0.6097536477,0.6372093878,15
Fama-French Plus Momentum,S,17OCT2002,-0.204651183,-0.243795717,-0.303159461,15
Fama-French Plus Momentum,AAPL,11AUG2006,0.0065496049,-0.069441899,-0.07433723,15
Fama-French Plus Momentum,BPOP,22JAN2009,-0.488416918,-0.319687043,-0.387922703,15
Fama-French Plus Momentum,CVS,27JUN2001,-0.196635097,-0.217056061,-0.21678288,15
Fama-French Plus Momentum,BMY,08AUG2006,-0.106489233,-0.191031615,-0.192458943,15
Fama-French Plus Momentum,BMY,19APR2000,-0.134453779,-0.060419906,-0.067337587,15
Fama-French Plus Momentum,LMT,21JUL2009,-0.046371965,-0.099928303,-0.10458909,15
Fama-French Plus Momentum,NEM,26APR2005,-0.043272764,0.0048271431,0.0020811449,15
Fama-French Plus Momentum,CMS,10MAY2002,-0.107650945,-0.039141123,-0.06200156,15
Fama-French Plus Momentum,TXT,26SEP2001,-0.274738197,-0.195256545,-0.17981812,15
Fama-French Plus Momentum,XEL,26JUL2002,-0.450511902,-0.205413035,-0.275295635,15
Fama-French Plus Momentum,WR,26DEC2002,-0.121024727,-0.288428137,-0.295680685,15
Fama-French Plus Momentum,DQE,30APR2001,-0.29340509,-0.292088247,-0.271117896,15
Fama-French Plus Momentum,FLR,18FEB1997,-0.129203537,-0.264299546,-0.283625693,15
Fama-French Plus Momentum,IRF,09APR2007,-0.071373365,-0.077514296,-0.077963541,15
Fama-French Plus Momentum,XRX,27JUL2000,-0.191823898,-0.037726359,-0.044228124,15
Fama-French Plus Momentum,FLS,27SEP2002,-0.483582125,-0.435191849,-0.384631403,15
Fama-French Plus Momentum,WFT,01MAR2011,-0.198735638,-0.229101107,-0.213466276,15
Fama-French Plus Momentum,NR,17APR2006,-0.183291789,-0.192246839,-0.195544306,15
Fama-French Plus Momentum,FITB,17JUN2008,-0.404327982,-0.150709386,-0.131472653,15
Fama-French Plus Momentum,PLL,02AUG2007,-0.084567627,-0.038665294,-0.037917489,15
Fama-French Plus Momentum,TE,04FEB2003,-0.229217637,-0.146097514,-0.126792308,15
Fama-French Plus Momentum,BEN,04FEB2004,-0.008986077,-0.07923547,-0.083223097,15
Fama-French Plus Momentum,WMB,29JAN2002,-0.36552875,-0.536881641,-0.507958152,15
Fama-French Plus Momentum,WEDC,09JUN2004,-0.262166429,-0.303804188,-0.27055646,15
Fama-French Plus Momentum,DBD,15JAN2008,-0.123599397,-0.106058329,-0.101845093,15
Fama-French Plus Momentum,HELE,10OCT2005,-0.112703845,-0.102832223,-0.10626598,15
Fama-French Plus Momentum,HRLY,14JUN2006,-0.471620206,-0.393860141,-0.346569014,15
Fama-French Plus Momentum,FRX,01SEP2004,-0.117500524,-0.078519158,-0.07642547,15
Fama-French Plus Momentum,TYC,28MAY2003,0.0552941462,-0.032483948,-0.033557352,15
Fama-French Plus Momentum,MMC,14OCT2004,-0.432037394,-0.476802402,-0.407580342,15
Fama-French Plus Momentum,KLAC,22MAY2006,-0.123729436,-0.090166896,-0.085052235,15
Fama-French Plus Momentum,JPM,01JUL2004,0.0127249913,0.0287835577,0.0284232457,15
Fama-French Plus Momentum,KOSS,21DEC2009,-0.041739091,-0.237612305,-0.507937711,8
Fama-French Plus Momentum,SMTC,19JUL2006,-0.096111548,0.0536185334,0.0416723935,15
Fama-French Plus Momentum,BKR,22FEB2008,-0.225806495,-0.386464999,-0.407144426,15
Fama-French Plus Momentum,ATX,22APR1999,-0.018518503,0.0092173053,-0.012017752,15
Fama-French Plus Momentum,MOLX,14FEB2005,-0.12578182,-0.110393643,-0.111243348,15
Fama-French Plus Momentum,NAFC,20OCT2005,-0.251385908,-0.254797477,-0.266066161,15
Fama-French Plus Momentum,BAC,20JAN2009,-0.50547045,-0.176770601,-0.168032899,15
Fama-French Plus Momentum,RYL,07JAN2004,-0.183082394,-0.37274983,-0.380421164,15
Fama-French Plus Momentum,PARS,17DEC2004,-0.577380972,-0.701106705,-0.942209372,15
