Model,ticker,evtdate,cret,car,bhar,nrets
Fama-French Plus Momentum,ACUR,31OCT2011,-0.229885031,-0.466370168,-0.471035247,15
Fama-French Plus Momentum,AYE,07FEB2006,0.0168067753,-0.069204144,-0.074028448,15
Fama-French Plus Momentum,CLZR,16JAN2009,-0.152542339,-0.251881155,-0.327097318,15
Fama-French Plus Momentum,FBP,24JUL2007,-0.144465293,-0.00891949,-0.008101879,15
Fama-French Plus Momentum,AIM,09AUG2005,0.1761102015,0.2808997442,0.2513324778,15
Fama-French Plus Momentum,KO,03JUL2008,-0.027600405,-0.005838929,-0.006141269,15
Fama-French Plus Momentum,CDNS,15JUN2011,-0.033175393,0.0172546992,0.0176379856,15
Fama-French Plus Momentum,CBM,20DEC2007,0.0367299068,0.2253913152,0.2066685334,15
Fama-French Plus Momentum,WM,04NOV2011,-0.079693053,-0.119187565,-0.116663113,15
Fama-French Plus Momentum,WM,05JUN2012,-0.013102308,-0.013131455,-0.012967708,15
Fama-French Plus Momentum,IBM,30MAY2008,-0.004348132,-0.00775337,-0.00864054,15
Fama-French Plus Momentum,AAPL,28SEP2010,0.0457388488,0.0109210987,0.0103675607,15
Fama-French Plus Momentum,BPOP,17JUN2011,-0.025925901,0.0034240082,0.0020712207,15
Fama-French Plus Momentum,CVS,06JUN2005,0.0629090741,0.0715567725,0.0725931493,15
Fama-French Plus Momentum,BMY,02MAR2006,-0.00606583,-0.001788873,-0.002255731,15
Fama-French Plus Momentum,BMY,18AUG2009,0.048320349,0.0229895314,0.0238382244,15
Fama-French Plus Momentum,LMT,15FEB2013,0.0283875359,0.0412389104,0.0413766224,15
Fama-French Plus Momentum,NEM,20OCT2006,0.0827552947,0.2242343913,0.2166203908,15
Fama-French Plus Momentum,CMS,22MAY2007,-0.004364426,-0.027371839,-0.028294948,15
Fama-French Plus Momentum,TXT,21FEB2006,0.068823001,0.0360359278,0.0374925079,15
Fama-French Plus Momentum,XEL,14JAN2005,0.0180281515,0.0247395926,0.0246571774,15
Fama-French Plus Momentum,WR,31MAY2005,0.0349611892,-0.041528146,-0.044018505,15
