Model,tic,classend,cret_ce,car_ce,bhar_ce,nrets
Fama-French Plus Momentum,ACUR,22-Apr-10,-0.356187302,-0.350830859,-0.417098761,14
Fama-French Plus Momentum,AYE,8-Oct-02,-0.638867639,-0.631762643,-0.480599913,15
Fama-French Plus Momentum,CLZR,21-Aug-06,-0.287940365,-0.493113103,-0.532026316,15
Fama-French Plus Momentum,T,22-Aug-02,0.092682914,0.056598336,0.055517436,15
Fama-French Plus Momentum,FBP,25-Aug-05,-0.145378585,-0.17904234,-0.166140401,15
Fama-French Plus Momentum,AIM,17-Mar-03,-0.33466399,-0.480267456,-0.454137584,15
Fama-French Plus Momentum,KO,6-Mar-00,-0.068345092,0.092524016,0.077910913,15
Fama-French Plus Momentum,CDNS,22-Oct-08,-0.141350127,-0.087017343,-0.151498361,15
Fama-French Plus Momentum,CBM,25-Jul-03,-0.112765937,-0.187238994,-0.209075375,15
Fama-French Plus Momentum,IBM,15-Apr-05,-0.157865348,-0.170187267,-0.161687438,15
Fama-French Plus Momentum,S,16-Nov-04,0.466648699,0.609753648,0.637209388,15
Fama-French Plus Momentum,S,17-Oct-02,-0.204651183,-0.243795717,-0.303159461,15
Fama-French Plus Momentum,AAPL,11-Aug-06,0.006549605,-0.069441899,-0.07433723,15
Fama-French Plus Momentum,BPOP,22-Jan-09,-0.488416918,-0.319687043,-0.387922703,15
Fama-French Plus Momentum,CVS,27-Jun-01,-0.196635097,-0.217056061,-0.21678288,15
Fama-French Plus Momentum,BMY,8-Aug-06,-0.106489233,-0.191031615,-0.192458943,15
Fama-French Plus Momentum,BMY,19-Apr-00,-0.134453779,-0.060419906,-0.067337587,15
Fama-French Plus Momentum,LMT,21-Jul-09,-0.046371965,-0.099928303,-0.10458909,15
Fama-French Plus Momentum,NEM,26-Apr-05,-0.043272764,0.004827143,0.002081145,15
Fama-French Plus Momentum,CMS,10-May-02,-0.107650945,-0.039141123,-0.06200156,15
Fama-French Plus Momentum,TXT,26-Sep-01,-0.274738197,-0.195256545,-0.17981812,15
Fama-French Plus Momentum,XEL,26-Jul-02,-0.450511902,-0.205413035,-0.275295635,15
Fama-French Plus Momentum,WR,26-Dec-02,-0.121024727,-0.288428137,-0.295680685,15
Fama-French Plus Momentum,DQE,30-Apr-01,-0.29340509,-0.292088247,-0.271117896,15
Fama-French Plus Momentum,FLR,18-Feb-97,-0.129203537,-0.264299546,-0.283625693,15
Fama-French Plus Momentum,IRF,9-Apr-07,-0.071373365,-0.077514296,-0.077963541,15
Fama-French Plus Momentum,XRX,27-Jul-00,-0.191823898,-0.037726359,-0.044228124,15
Fama-French Plus Momentum,FLS,27-Sep-02,-0.483582125,-0.435191849,-0.384631403,15
Fama-French Plus Momentum,WFT,1-Mar-11,-0.198735638,-0.229101107,-0.213466276,15
Fama-French Plus Momentum,NR,17-Apr-06,-0.183291789,-0.192246839,-0.195544306,15
Fama-French Plus Momentum,FITB,17-Jun-08,-0.404327982,-0.150709386,-0.131472653,15
Fama-French Plus Momentum,PLL,2-Aug-07,-0.084567627,-0.038665294,-0.037917489,15
Fama-French Plus Momentum,TE,4-Feb-03,-0.229217637,-0.146097514,-0.126792308,15
Fama-French Plus Momentum,BEN,4-Feb-04,-0.008986077,-0.07923547,-0.083223097,15
Fama-French Plus Momentum,WMB,29-Jan-02,-0.36552875,-0.536881641,-0.507958152,15
Fama-French Plus Momentum,WEDC,9-Jun-04,-0.262166429,-0.303804188,-0.27055646,15
Fama-French Plus Momentum,DBD,15-Jan-08,-0.123599397,-0.106058329,-0.101845093,15
Fama-French Plus Momentum,HELE,10-Oct-05,-0.112703845,-0.102832223,-0.10626598,15
Fama-French Plus Momentum,HRLY,14-Jun-06,-0.471620206,-0.393860141,-0.346569014,15
Fama-French Plus Momentum,FRX,1-Sep-04,-0.117500524,-0.078519158,-0.07642547,15
Fama-French Plus Momentum,TYC,28-May-03,0.055294146,-0.032483948,-0.033557352,15
Fama-French Plus Momentum,MMC,14-Oct-04,-0.432037394,-0.476802402,-0.407580342,15
Fama-French Plus Momentum,KLAC,22-May-06,-0.123729436,-0.090166896,-0.085052235,15
Fama-French Plus Momentum,JPM,1-Jul-04,0.012724991,0.028783558,0.028423246,15
Fama-French Plus Momentum,KOSS,21-Dec-09,-0.041739091,-0.237612305,-0.507937711,8
Fama-French Plus Momentum,SMTC,19-Jul-06,-0.096111548,0.053618533,0.041672394,15
Fama-French Plus Momentum,BKR,22-Feb-08,-0.225806495,-0.386464999,-0.407144426,15
Fama-French Plus Momentum,ATX,22-Apr-99,-0.018518503,0.009217305,-0.012017752,15
Fama-French Plus Momentum,MOLX,14-Feb-05,-0.12578182,-0.110393643,-0.111243348,15
Fama-French Plus Momentum,NAFC,20-Oct-05,-0.251385908,-0.254797477,-0.266066161,15
Fama-French Plus Momentum,BAC,20-Jan-09,-0.50547045,-0.176770601,-0.168032899,15
Fama-French Plus Momentum,RYL,7-Jan-04,-0.183082394,-0.37274983,-0.380421164,15
Fama-French Plus Momentum,PARS,17-Dec-04,-0.577380972,-0.701106705,-0.942209372,15
Fama-French Plus Momentum,CI,24-Oct-02,-0.378477816,-0.348403722,-0.355333578,15
Fama-French Plus Momentum,CHE,16-Nov-11,-0.103417808,-0.093349922,-0.095664649,15
Fama-French Plus Momentum,HOV,13-Aug-07,3.36E-09,-0.102533568,-0.121587581,15
Fama-French Plus Momentum,COO,21-Nov-05,-0.260224106,-0.242444128,-0.233066471,15
Fama-French Plus Momentum,TOL,8-Nov-05,0.027128378,-0.134897136,-0.163749399,15
Fama-French Plus Momentum,PPC,24-Sep-08,-0.772552048,-1.028359058,-0.60741652,15
Fama-French Plus Momentum,UNM,4-Feb-03,-0.321390427,-0.369812563,-0.31979232,15
Fama-French Plus Momentum,STAA,6-Jan-04,-0.197022762,-0.300829567,-0.301699968,15
Fama-French Plus Momentum,RGR,29-Oct-07,-0.590934207,-0.723413755,-0.530535999,15
Fama-French Plus Momentum,MBI,9-Jan-08,-0.616075437,-0.814610286,-0.557748478,15
Fama-French Plus Momentum,TLAB,19-Jun-01,-0.471680871,-0.529647801,-0.415573864,15
Fama-French Plus Momentum,BPT,4-Aug-06,-0.069891807,-0.060198252,-0.06852236,15
Fama-French Plus Momentum,ABIX,16-Apr-04,0.763341048,1.769004648,0.579800621,13
Fama-French Plus Momentum,PRST,29-Sep-06,-0.346485777,-0.388701335,-0.347661741,15
Fama-French Plus Momentum,ZIXI,4-May-04,-0.507836992,-0.577356654,-0.432949081,15
Fama-French Plus Momentum,LSCC,19-Apr-04,-0.180851044,-0.05400863,-0.051732703,15
Fama-French Plus Momentum,SLR,26-Sep-02,-0.413559327,-0.363528904,-0.309739726,15
Fama-French Plus Momentum,CSCO,6-Feb-01,-0.21621622,0.085262671,0.062109624,15
Fama-French Plus Momentum,THOR,29-Jun-04,-0.249303623,-0.1904326,-0.194922207,15
Fama-French Plus Momentum,TTI,16-Oct-07,-0.090081878,-0.100602913,-0.099084655,15
Fama-French Plus Momentum,MRX,24-Sep-08,-0.31793823,-0.126529644,-0.10208298,15
Fama-French Plus Momentum,REGN,31-Mar-03,-0.687318499,-0.955379338,-0.765986766,15
Fama-French Plus Momentum,PNRA,26-Jul-06,-0.170692412,-0.165656493,-0.159024819,15
Fama-French Plus Momentum,RTK,15-Dec-09,-0.078571441,-0.416250832,-0.492896882,15
Fama-French Plus Momentum,SPNC,4-Sep-08,-0.507514406,-0.135926283,-0.189707813,15
Fama-French Plus Momentum,GILD,28-Oct-03,-0.094269825,0.013140089,0.000768524,15
Fama-French Plus Momentum,PLMD,17-Nov-00,-0.565420562,-0.7552214,-0.723047257,15
Fama-French Plus Momentum,EP,29-May-02,-0.347927424,-0.17042965,-0.16083421,15
Fama-French Plus Momentum,STEL,1-Apr-02,-0.509803932,-0.469448679,-0.347624699,15
Fama-French Plus Momentum,ADAT,27-May-05,-0.377990429,-0.634315745,-0.572468974,15
Fama-French Plus Momentum,SHFL,12-Mar-07,-0.119417056,-0.094196622,-0.089242179,15
Fama-French Plus Momentum,CRY,26-Jun-02,-0.437869832,-0.504944488,-0.411029723,15
Fama-French Plus Momentum,APSG,22-Feb-05,-0.179999981,-0.094102482,-0.093593036,15
Fama-French Plus Momentum,JAH,11-Jan-06,-0.147351017,-0.199795818,-0.19768691,15
Fama-French Plus Momentum,SCON,1-Mar-04,-0.567877627,-0.223516813,-0.186176731,15
Fama-French Plus Momentum,SGY,6-Oct-05,-0.224432784,-0.157951735,-0.140686406,15
Fama-French Plus Momentum,CASH,12-Oct-10,-0.554374994,-0.572164155,-0.437908983,15
Fama-French Plus Momentum,DYII,18-Dec-03,-0.499999991,-0.485554703,-0.664203088,15
Fama-French Plus Momentum,ZLC,5-May-06,-0.101771782,0.019677006,0.017847262,15
Fama-French Plus Momentum,OMG,30-Oct-02,-0.828527128,-1.049357826,-0.696756273,15
Fama-French Plus Momentum,MATK,27-Apr-05,-0.267508236,-0.267610956,-0.402561523,15
Fama-French Plus Momentum,VRTS,16-Jan-03,0.040111118,0.1303677,0.120210689,15
Fama-French Plus Momentum,BZH,27-Mar-07,-0.126563021,-0.080100687,-0.078469649,15
Fama-French Plus Momentum,ARTX,14-Nov-05,-0.327586224,-0.10283154,-0.11321278,15
Fama-French Plus Momentum,SNIC,17-May-07,-0.073909833,-0.01055082,-0.016310859,15
Fama-French Plus Momentum,CBR,3-Aug-11,-0.39047618,-0.406730131,-0.352243988,15
Fama-French Plus Momentum,IBIS,12-Dec-03,-0.345772566,-0.555354419,-0.518940695,15
Fama-French Plus Momentum,JOSB,7-Jun-06,-0.319292357,-0.242327133,-0.235196145,15
Fama-French Plus Momentum,NPSP,2-May-06,-0.410514528,-0.320657146,-0.313948908,15
Fama-French Plus Momentum,PSSI,8-May-98,-0.415730335,-0.493939782,-0.417655877,15
Fama-French Plus Momentum,MCK,27-Apr-99,-0.429126213,-0.761612265,-0.87799116,15
Fama-French Plus Momentum,UHAL,26-Sep-02,-0.183453239,-0.289105489,-0.275246807,15
Fama-French Plus Momentum,VECO,10-Feb-05,-0.140651803,-0.052630463,-0.052549768,15
Fama-French Plus Momentum,SWC,1-Apr-02,-0.082295543,-0.193580372,-0.213024398,15
Fama-French Plus Momentum,RCII,8-Oct-01,-0.074646588,-0.074585638,-0.10190212,15
Fama-French Plus Momentum,BRKS,22-May-06,-0.151123169,-0.136493368,-0.124647595,15
Fama-French Plus Momentum,HLIT,26-Jun-00,-0.413290119,-0.40870306,-0.433057867,15
Fama-French Plus Momentum,ADEX,13-Jun-06,0.001548443,0.121158862,0.11991665,15
Fama-French Plus Momentum,ESST,12-Sep-02,-0.43347279,-0.263468573,-0.224056902,15
Fama-French Plus Momentum,NWPX,11-Nov-09,-0.132225894,-0.177041836,-0.180358246,15
Fama-French Plus Momentum,HIG,13-Oct-04,-0.127615771,-0.120926115,-0.115774928,15
Fama-French Plus Momentum,STKR,9-Nov-04,-0.056000039,-0.137071804,-0.155259872,15
Fama-French Plus Momentum,ARTC,23-Jan-08,-0.203486033,0.066228816,0.046929946,15
Fama-French Plus Momentum,PRGX,29-Mar-00,-0.316037726,0.340151876,0.183175681,15
Fama-French Plus Momentum,KVHI,2-Jul-04,-0.377622406,-0.474596248,-0.402680331,15
Fama-French Plus Momentum,NDN,3-Feb-04,-0.009269562,-0.250735625,-0.280440915,15
Fama-French Plus Momentum,JAKK,19-Oct-04,-0.340899539,-0.361611437,-0.381198603,15
Fama-French Plus Momentum,SRZ,15-Jun-06,-0.16292473,-0.051886957,-0.047982142,15
Fama-French Plus Momentum,ZOMX,21-Sep-00,-0.671617153,-0.454744318,-0.314624283,15
Fama-French Plus Momentum,ADRX,4-Mar-03,-0.267366753,0.008177832,-0.04520801,15
Fama-French Plus Momentum,RNR,25-Jul-05,-0.02839457,-0.017989452,-0.022699662,15
Fama-French Plus Momentum,HEB,30-Oct-09,-0.33701653,-0.437871383,-0.371909758,15
Fama-French Plus Momentum,ANF,13-Oct-99,-0.347663549,-0.44522588,-0.405088275,15
Fama-French Plus Momentum,ANF,16-Aug-05,-0.10433186,-0.131018696,-0.127752809,15
Fama-French Plus Momentum,CRN,5-Mar-02,-0.200639509,-0.469112106,-0.4742892,15
Fama-French Plus Momentum,CERS,3-Sep-03,-0.279785767,-0.308917765,-0.321459142,15
Fama-French Plus Momentum,CTIC,8-Feb-10,-0.345794448,-0.277784256,-0.32292177,15
Fama-French Plus Momentum,CBI,3-Feb-06,-0.187322914,0.030893019,-0.002662985,15
Fama-French Plus Momentum,MEAD,29-Aug-06,-0.026666642,-0.155809975,-0.162640266,15
Fama-French Plus Momentum,AMZN,30-Oct-00,0.348258721,0.097748065,0.083722898,15
Fama-French Plus Momentum,RMBS,27-Jun-06,0.033224783,0.004673373,0.025119399,15
Fama-French Plus Momentum,SRT,5-May-05,-0.171556817,-0.17967425,-0.183170621,15
Fama-French Plus Momentum,FARO,3-Nov-05,-0.026342474,0.157870207,0.111087236,15
Fama-French Plus Momentum,PLCE,23-Aug-07,-0.085254214,0.105168095,0.078788299,15
Fama-French Plus Momentum,PSMT,7-Nov-03,-0.100250317,-0.204574985,-0.221289909,15
Fama-French Plus Momentum,AMCC,5-Feb-01,-0.45911047,-0.522977729,-0.397246399,15
