Model,evttime,ret_m,abret_m,abret_t,sar_t,pat_ar,cret_me,car_me,patcar_me,car_te,scar_te,bhar_me,car
Fama-French Plus Momentum,-7,0.000903549,0.002682598,1.038217063,1.879725204,2.880416724,0.020328469,0.020177519,3.840777519,1.328921059,2.127036896,0.020880031,0.002682598
Fama-French Plus Momentum,-6,0.005602781,0.004843098,1.248922403,1.414803248,3.024606031,0.020328469,0.020177519,3.840777519,1.328921059,2.127036896,0.020880031,0.007525696
Fama-French Plus Momentum,-5,-0.002335334,-0.002118223,-0.95028647,-0.367588479,-0.484397341,0.020328469,0.020177519,3.840777519,1.328921059,2.127036896,0.020880031,0.005407473
Fama-French Plus Momentum,-4,0.000680253,-0.001573205,-0.650733651,-0.364439622,-0.480951114,0.020328469,0.020177519,3.840777519,1.328921059,2.127036896,0.020880031,0.003834268
Fama-French Plus Momentum,-3,-0.004397002,-0.000908829,-0.414278647,-0.424651555,-0.496796388,0.020328469,0.020177519,3.840777519,1.328921059,2.127036896,0.020880031,0.002925439
Fama-French Plus Momentum,-2,-0.001678932,0.00046467,0.177725604,1.047939631,1.445467446,0.020328469,0.020177519,3.840777519,1.328921059,2.127036896,0.020880031,0.003390108
Fama-French Plus Momentum,-1,0.003242789,0.00254559,1.076736135,0.991080122,1.69443256,0.020328469,0.020177519,3.840777519,1.328921059,2.127036896,0.020880031,0.005935699
Fama-French Plus Momentum,0,-0.002426104,0.000241325,0.093850578,1.049978122,1.817547808,0.020328469,0.020177519,3.840777519,1.328921059,2.127036896,0.020880031,0.006177024
Fama-French Plus Momentum,1,-0.001760015,-0.001311039,-0.563595404,1.081798772,1.653341224,0.020328469,0.020177519,3.840777519,1.328921059,2.127036896,0.020880031,0.004865985
Fama-French Plus Momentum,2,0.001966087,0.002133428,0.689583795,-0.303230695,-0.456409348,0.020328469,0.020177519,3.840777519,1.328921059,2.127036896,0.020880031,0.006999412
Fama-French Plus Momentum,3,0.000960892,0.000766172,0.315239201,0.713720986,1.062568948,0.020328469,0.020177519,3.840777519,1.328921059,2.127036896,0.020880031,0.007765584
Fama-French Plus Momentum,4,-0.002246803,-0.001349934,-0.591334145,-0.899282953,-1.17124106,0.020328469,0.020177519,3.840777519,1.328921059,2.127036896,0.020880031,0.00641565
Fama-French Plus Momentum,5,0.002284503,0.003479767,1.279920521,1.613660586,2.344116078,0.020328469,0.020177519,3.840777519,1.328921059,2.127036896,0.020880031,0.009895417
Fama-French Plus Momentum,6,0.007448624,0.005664608,0.751774976,0.201307422,0.50646933,0.020328469,0.020177519,3.840777519,1.328921059,2.127036896,0.020880031,0.015560025
Fama-French Plus Momentum,7,0.007173046,0.004617493,1.753535359,1.066458569,1.536096474,0.020328469,0.020177519,3.840777519,1.328921059,2.127036896,0.020880031,0.020177518
