Litigation Name ,Filing Date ,Class Start Date ,Class End Date ,Nature of Case  ,Status,Case Status Date ,Accounting,Secondary Market & Trading,Financial Intermediatary,Non-Accounting disclsoure and misrepresentation,Others
"ABS Industries, Inc.",1/19/1996,3/17/1993,1/10/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,1/29/1999,1,0,0,0,0
"Donaldson, Lufkin & Jenrette Securities Corporation : Rickel Home Centers Notes",1/26/1996,10/28/1994,12/15/1995,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,4/30/2002,0,0,0,1,0
Touchstone Software Corporation,1/26/1996,5/2/1995,12/21/1995,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,4/17/1997,1,0,0,0,0
"Cephalon, Inc.",1/29/1996,6/1/1995,1/19/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,9/12/2005,0,0,0,1,0
"Silicon Graphics, Inc.",1/29/1996,10/19/1995,12/29/1995,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,11/8/1999,0,0,0,1,0
Mustang Development Corporation,2/1/1996,1/1/1987,3/31/1995,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,11/1/2002,0,0,0,1,0
"NuMed Home Health Care, Inc.",2/1/1996,2/8/1995,6/28/1995,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,8/26/1996,0,0,0,1,0
Chantal Pharmaceutical Corporation,2/7/1996,7/10/1995,1/5/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,8/7/2001,1,0,0,0,0
"Firefox Communications, Inc.",2/23/1996,8/3/1995,1/2/1996,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,6/4/2001,0,0,0,1,0
"Health Management, Inc. I",2/29/1996,6/15/1995,2/27/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,3/30/2011,1,0,0,0,0
Alliance Semiconductor Corporation,3/4/1996,7/11/1995,12/29/1995,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,9/1/2000,0,0,0,1,0
"FTP Software, Inc.",3/14/1996,7/14/1995,1/3/1996,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,2/3/2000,0,0,0,1,0
"Pinnacle Micro, Inc.",3/15/1996,5/22/1995,2/19/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,9/14/1998,1,0,0,0,0
New York Life Insurance Company,3/18/1996,1/1/1985,3/19/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,1/21/1997,0,0,0,1,0
"Bollinger Industries, Inc.",3/22/1996,6/29/1994,6/26/1995,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,8/27/2001,1,0,0,0,0
NationsBank Corporation : Dean Witter U.S. Government Securities Trust,3/26/1996,3/26/1993,11/15/1994,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,7/21/2003,0,0,0,1,0
"Fleming Companies, Inc. : Common Stock",3/28/1996,12/8/1994,3/15/1996,FAILURE OF DISCLOSURE (NON-ACCOUNTING),DISMISSED,11/28/2001,0,0,0,1,0
"Wellcare Management Group, Inc.",3/29/1996,8/2/1994,3/18/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,3/27/2001,1,0,0,0,0
Horizon/CMS Healthcare Corporation,4/2/1996,7/6/1995,3/1/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,1/7/2000,1,0,0,0,0
"Novell, Inc.",4/2/1996,2/12/1996,4/2/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,DISMISSED,5/1/1998,1,0,0,0,0
"SyQuest Technology, Inc.",4/2/1996,10/21/1994,2/1/1996,NON-ACCOUNTING MISREPRESENTATIONS,DISMISSED,2/2/1999,0,0,0,1,0
"Fleming Companies, Inc. : 10 5/8% Fixed Rate and Floating Rate Senior Notes due December 15, 2001",4/4/1996,12/8/1994,3/15/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,11/19/2002,1,0,0,0,0
"Bennett Funding Group, Inc. : Notes, Bonds, Units, Lease Assignments, and Other Securities",4/11/1996,1/1/1990,3/28/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,1/3/2007,0,0,0,1,0
"Network Computing Devices, Inc.",4/11/1996,2/1/1996,3/21/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,5/14/1998,1,0,0,0,0
"Northstar Health Services, Inc.",4/15/1996,3/17/1994,3/26/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,8/9/1999,1,0,0,0,0
"BT Office Products International, Inc.",4/16/1996,1/30/1996,3/28/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,7/2/1997,1,0,0,0,0
"VISTA 2000, Inc.",4/16/1996,10/2/1995,3/25/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,3/18/1997,1,0,0,0,0
Midcom Communications Inc.,4/19/1996,7/6/1995,3/4/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,1/21/2000,0,0,0,1,0
AnnTaylor Stores Corporation,4/25/1996,2/3/1994,5/4/1995,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,6/20/2002,0,0,0,1,0
"Computron Software, Inc.",4/25/1996,8/24/1995,2/20/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,3/11/1998,0,0,0,1,0
Eagle Finance Corporation,4/25/1996,5/12/1995,4/15/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,1/5/1999,1,0,0,0,0
"Biocontrol Technology, Inc.",4/30/1996,4/25/1995,2/2/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,9/4/2002,0,0,0,1,0
Cellstar Corporation,5/14/1996,6/27/1995,4/11/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,1/26/1999,1,0,0,0,0
PRINS Recycling Corporation,5/29/1996,4/20/1995,4/4/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,6/5/2000,1,0,0,0,0
"ValuJet Airlines, Inc.",5/30/1996,6/8/1995,5/30/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,11/1/1999,0,0,0,1,0
Number Nine Visual Technology Corporation,6/11/1996,5/26/1995,1/31/1996,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,SETTLED,2/8/2001,1,0,0,0,0
"BHP Copper, Inc. : Magma Copper Company",6/13/1996,5/16/1995,6/14/1995,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,4/25/2006,0,0,0,1,0
"Discreet Logic, Inc.",6/13/1996,11/14/1995,2/13/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,11/28/1997,0,0,0,1,0
Gaming Lottery Corporation,6/14/1996,6/8/1995,5/24/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,2/5/2004,0,0,0,1,0
"Hart Brewing, Inc.",6/14/1996,12/13/1995,6/14/1996,IPO-NON ALLOCATION,DISMISSED,6/30/1998,0,0,1,0,0
Great Western Financial Corporation : Sierra Trust Funds,6/18/1996,6/18/1996,6/18/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,8/23/1999,0,0,0,1,0
OrthoLogic Corporation,6/21/1996,5/31/1996,6/18/1996,NON-ACCOUNTING MISREPRESENTATIONS,SETTLED,9/4/2001,0,0,0,1,0
