tic,settledate,cret_st,car_st,bhar_st,number,classend,ceyr,month,gap,lgap,settlefund,year,styr,gvkey,date,fyear_st,at_st,capx_st,ceq_st,dltt_st,dp_st,dt_st,ebit_st,revt_st,setp_st,txpd_st,wcap,xintd_st,mkvalt_st,sic,f_month,wcap_1_st,dwcap_st,ebit_1_st,fcf_st,fcf_1_st,size_st,debtratio_st,m2b_st,classification,accounting,secondary market & trading,financial intermediatary,non-accounting disclsoure and misrepresentation,others,fyear_ce,at_ce,capx_ce,ceq_ce,dltt_ce,dp_ce,dt_ce,ebit_ce,revt_ce,setp_ce,txpd_ce,wcap_ce,xintd_ce,mkvalt_ce,wcap_1_ce,dwcap_ce,ebit_1_ce,fcf_ce,fcf_1_ce,size_ce,debtratio_ce,m2b_ce,prc,vol,shrout,sprtrn,vt,shto,abnormal volume,abshto,skewness,news_st,news_ce,news_winner_st,news_winner_ce,confounding,inst_hhi,inst_pct,cret_ce,car_ce,bhar_ce,financial market,operation and others,other industry,manufacture,tmt,trade,financial service,service,stfundpct,stfundpct1,stfundpct2,stfundpct3,stfundpct4,stfundpct5
ACUR,10/31/2011,-2298.8503100000003,-4663.70168,-4710.35247,104549,2010-04-22,2010,10,18.566666666666666,6.322565099999999,1.5,2011,2011,11929,12/31/2011,2011,37.173,0.131,36.643,0.0,0.131,0.0,10.534,20.465999999999998,0.0,0.284,35.599000000000004,0.0,158.1668,2834,12,23.289,12.31,-12.724,-2.06,-7.189,5.063650172374142,0.0,4.254883921,FAILURE OF DISCLOSURE (NON-ACCOUNTING),0,0,0,1,0,2010,25.493000000000002,0.040999999999999995,24.340999999999998,0.0,0.135,0.0,-12.724,3.3110000000000004,0.0,0.02,23.289,0.0,145.2891,28.75,-5.461,-13.5,-7.189,-6.457000000000001,4.978725550556525,0.0,5.699176243999999,4.44,76260,45319,-2.4738,218623.5167,4.824102841,-142363.5167,-3.1413649169999998,0,3.0,27.0,1,1,0,12.4016901,5.0029659,-3561.8730200000005,-3508.30859,-4170.98761,0,1,0,1,0,0,0,0,0.1423960508828555,0.07329228965112872,9.034,0.04035186829150189,0.020276635307032775,0.00537175972230495
AYE,2/7/2006,168.067753,-692.0414400000001,-740.28448,102591,2002-10-08,2002,2,40.6,7.1049652000000005,15.05,2006,2006,1279,12/31/2006,2006,8552.446,447.325,2080.395,8.134465517489533,273.134,0.0,732.32,3121.489,0.0,3.2039999999999997,88.64299999999999,0.0,7591.7235,4911,12,-112.63600000000001,201.27900000000002,566.047,353.64599999999996,976.574,8.934813919710843,0.398715525,0.887666932,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.82,1015200,162853,-0.8095,1057122.5,6.491268198999999,-41922.5,-0.257425408,0,22.0,30.0,1,1,0,3.2102904999999997,72.1880936,-6388.67639,-6317.626429999999,-4805.99913,0,0,0,0,1,0,0,0,0.020551125191173258,0.0048214169583810805,717.2700000000001,0.0017597304911366877,0.0004223487466232761,2.324606148656467e-05
CLZR,1/16/2009,-1525.4233900000002,-2518.81155,-3270.97318,103974,2006-08-21,2006,1,29.3,6.7787847999999995,3.85,2009,2009,12390,6/30/2009,2009,123.17,0.8,77.444,0.0,2.6319999999999997,0.0,-17.508,116.58,0.0,0.491,56.42100000000001,0.0,23.1818,3845,6,68.462,-12.040999999999999,-15.543,-4.126,-17.167,3.1433674880460223,0.0,0.18820979100000002,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2006,149.17600000000002,0.715,100.012,0.0,0.5710000000000001,0.0,20.673000000000002,149.466,0.0,9.834,78.582,0.0,375.311,70.378,8.204,14.493,2.491,3.353,5.9277550155968735,0.0,2.5158939780000003,0.41100000000000003,342098,22706,0.7562,152778.95,6.728571743,189319.05,8.337842421,0,1.0,17.0,0,1,0,19.549061399999996,28.976863899999998,-2879.4036499999997,-4931.13103,-5320.26316,0,1,0,1,0,0,0,0,-0.21989947452593103,0.03302453250986447,-21.358,0.03125761143135504,0.04835577889678059,0.0010906197474950955
FBP,7/24/2007,-1444.65293,-89.1949,-81.01879,103530,2005-08-25,2005,7,23.266666666666666,6.5482192,74.25,2007,2007,16821,12/31/2007,2007,17186.931,0.0,871.546,6.094382081114668,20.963,0.0,0.0,1236.012,0.0,0.0,0.0,0.0,674.3542,6020,12,0.0,0.0,208.021,0.0,0.0,6.513755492163239,0.025796345,0.039236452000000005,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2005,19917.651,0.0,647.741,6.541484441369958,19.121,0.0,0.0,1130.667,0.0,0.0,0.0,0.0,1003.6588,0.0,0.0,260.566,0.0,0.0,6.911407401855309,0.034809075,0.05039042,9.9,775100,83254,-1.9804,465731.6083,5.5941048879999995,309368.3917,3.715958292,-1,0.0,4.0,0,0,0,7.8928989000000005,50.0488901,-1453.78585,-1790.4234,-1661.40401,0,0,0,0,0,0,1,0,0.0,0.06007223230842419,-74.25,0.004320143020298388,0.0,0.0036086730945172835
AIM,8/9/2005,1761.1020150000002,2808.997442,2513.324778,102920,2003-03-17,2003,8,29.2,6.7753663,5.35,2005,2005,1173,1/31/2005,2004,18.463,0.629,10.484000000000002,1.02747426083477,0.654,3.037,0.071,30.721,0.19699999999999998,0.302,9.121,0.0,20.7813,3812,1,0.0,0.0,0.0,0.0,0.0,3.034053543868271,0.151329686,1.125564643,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.15,7000,3921,0.6745,9400.0,2.397347615,-2400.0,-0.612088753,0,0.0,12.0,0,1,0,29.8942313,4.1906657,-3346.6399,-4802.67456,-4541.37584,0,0,0,1,0,0,0,0,75.35211267605634,0.17414797695387518,-5.279,0.2897687266424741,5677.9408847450895,0.030327517877127442
KO,7/3/2008,-276.00404999999995,-58.38929,-61.412690000000005,101721,2000-03-06,2000,7,101.36666666666666,8.0199413,137.5,2008,2008,3144,12/31/2008,2008,40519.0,1968.0,20472.0,7.930565854233965,1066.0,3246.0,8796.0,31944.0,0.0,1942.0,-812.0,0.0,104664.24,2086,12,-1120.0,308.0,7520.0,5644.0,5959.0,11.558512791240135,0.068634468,2.583090402,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.48,7453700,2322806,0.1094,10787087.5,4.643989855,-3333387.5,-1.435069265,0,33.0,36.0,1,1,0,3.539297,63.27578489999999,-683.45092,925.2401600000001,779.1091299999999,0,1,0,1,0,0,0,0,0.015632105502501138,0.004304407713498623,8658.5,0.0033934697302500064,0.00024436272244132636,1.852792576402644e-05
CDNS,6/15/2011,-331.75392999999997,172.54699200000002,176.379856,104138,2008-10-22,2008,6,32.2,6.8731637,38.0,2011,2011,13421,12/31/2011,2011,1761.269,31.421,411.13,4.882195678251343,82.316,425.981,123.335,1149.835,0.0,18.961,48.617,0.0,2835.8720000000003,7372,12,181.858,-133.241,7.186,288.51,296.065,7.950104752641912,0.07490054,1.6101299690000002,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2008,1678.714,97.29,101.96799999999999,6.214964035069227,122.085,500.17800000000005,-158.799,1038.614,0.0,33.647,390.338,0.0,943.7566,744.076,-353.73800000000006,310.907,186.08700000000002,336.865,6.8498682939162645,0.29795307600000004,0.562190224,10.09,3465801,268942,-1.7432,2976883.067,11.068866400000001,488917.9333,1.817930756,0,3.0,17.0,1,1,0,5.232003,91.3371582,-1413.50127,-870.17343,-1514.98361,0,0,0,0,0,0,0,1,0.30810394454129,0.03304821996199454,85.335,0.02157535277121212,0.09492804064190229,0.0010921848426563745
CBM,12/20/2007,367.299068,2253.913152,2066.685334,102894,2003-07-25,2003,12,53.63333333333333,7.383367999999999,3.15,2007,2007,13839,12/31/2007,2007,373.462,25.927,102.057,4.6210435351443815,19.799,101.6,-1.17,252.245,0.0,17.869,69.148,0.0,243.1457,2833,12,117.616,-48.468,35.199,23.301,31.5,5.493660852136563,0.272049097,0.651058742,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.59,146900,28990,0.49,294190.0,10.14798206,-147290.0,-5.0807174889999995,0,0.0,6.0,0,0,0,4.2236418,99.83184490000001,-1127.6593699999999,-1872.38994,-2090.75375,0,0,0,1,0,0,0,0,-2.6923076923076925,0.012487859025946995,-4.32,0.00843459307774285,7.248520710059172,0.00015594662305192582
IBM,5/30/2008,-43.481320000000004,-77.5337,-86.40540000000001,103474,2005-04-15,2005,5,38.03333333333333,7.039660499999999,20.0,2008,2008,6066,12/31/2008,2008,109524.0,4171.0,13465.0,10.029635504524139,5450.0,31631.0,16750.0,103630.0,0.0,2111.0,6569.0,0.0,112698.3194,7370,12,8867.0,-2298.0,14360.0,18216.0,8025.0,11.632469787760513,0.207160075,1.028982866,ACCOUNTING AND INSIDER TRADING,1,1,0,0,0,2005,105748.0,3842.0,33098.0,9.643744848773588,5188.0,18413.0,11714.0,91134.0,775.0,1994.0,10509.0,0.0,129381.156,7172.0,3337.0,11848.0,7729.0,0.0,11.77051802447845,0.14586564300000002,1.223485607,129.42999,8652900,1373479,0.1516,8709979.167000001,6.341545205,-57079.166670000006,-0.041558092000000005,0,160.0,490.0,1,1,1,2.4852193,44.6326098,-1578.6534800000002,-1701.87267,-1616.8743800000002,1,0,0,0,0,0,0,1,0.0011940298507462687,0.0001929943066679533,16730.0,0.00018260837807238596,1.4257072844731565e-06,3.724680240624401e-08
AAPL,9/28/2010,457.38848799999994,109.210987,103.675607,103658,2006-08-11,2006,9,50.3,7.319202400000001,16.5,2010,2010,1690,9/30/2010,2010,75183.0,2005.0,47791.0,0.0,932.0,0.0,18385.0,65225.0,0.0,2697.0,20956.0,0.0,259906.4875,3663,9,20049.0,907.0,11740.0,13708.0,8832.0,12.46807718184171,0.0,3.45698479,ACCOUNTING (OPTION DATING),1,0,0,0,0,2006,17205.0,657.0,9984.0,0.0,209.8,0.0,2453.0,19315.0,0.0,194.0,8038.0,0.0,65838.1457,6816.0,1222.0,1650.0,589.8,-902.3,11.094954671224091,0.0,3.82668676,286.85999,38283236,915970,0.485,24323444.82,26.55484876,13959791.18,15.24044585,0,185.0,186.0,1,1,1,2.3108824,62.874004500000005,65.49605,-694.41899,-743.3723,0,0,0,1,0,0,0,0,0.0008974707642099538,0.0002529704867765427,18368.5,0.00021946450660388652,8.054537726115985e-07,6.399406717996098e-08
