tic,settledate,cret_st,car_st,bhar_st,number,classend,ceyr,month,gap,lgap,settleamt,year,styr,gvkey,date,fyear_st,at_st,capx_st,ceq_st,dltt_st,dp_st,dt_st,ebit_st,revt_st,setp_st,txpd_st,wcap,xintd_st,mkvalt_st,sic,f_month,wcap_1_st,dwcap_st,ebit_1_st,fcf_st,fcf_1_st,size_st,debtratio_st,m2b_st,classification,accounting,secondary market & trading,financial intermediatary,non-accounting disclsoure and misrepresentation,others,fyear_ce,at_ce,capx_ce,ceq_ce,dltt_ce,dp_ce,dt_ce,ebit_ce,revt_ce,setp_ce,txpd_ce,wcap_ce,xintd_ce,mkvalt_ce,wcap_1_ce,dwcap_ce,ebit_1_ce,fcf_ce,fcf_1_ce,size_ce,debtratio_ce,m2b_ce,prc,vol,shrout,sprtrn,vt,share turnover,abnormal volume,abnormal share turnover,skewness,news_st,news_ce,news_winner_st,news_winner_ce,confounding,inst_hhi,inst_pct
ACUR,10/31/2011,-22.9885031,-46.6370168,-47.1035247,104549,4/22/2010,2010,10,557,6.3225651,1.5,2011,2011,11929,12/31/2011,2011,37.173,0.131,36.643,0,0.131,0,10.534,20.466,0,0.284,35.599,0,158.1668,2834,12,23.289,12.31,-12.724,-2.06,-7.189,3.615582691,0,4.254883921,FAILURE OF DISCLOSURE (NON-ACCOUNTING),0,0,0,1,0,2010,25.493,0.041,24.341,0,0.135,0,-12.724,3.311,0,0.02,23.289,0,145.2891,28.75,-5.461,-13.5,-7.189,-6.457,3.238403905,0,5.699176244,4.44,76260,45319,-2.4738,218623.5167,4.824102841,-142363.5167,-3.141364917,0,3,27,1,1,0,12.4016901,5.0029659
AYE,2/7/2006,1.68067753,-6.9204144,-7.4028448,102591,10/8/2002,2002,2,1218,7.1049652,15.05,2006,2006,1279,12/31/2006,2006,8552.446,447.325,2080.395,3409.993,273.134,0,732.32,3121.489,0,3.204,88.643,0,7591.7235,4911,12,-112.636,201.279,566.047,353.646,976.574,9.053972603,0.398715525,0.887666932,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.82,1015200,162853,-0.8095,1057122.5,6.491268199,-41922.5,-0.257425408,0,22,30,1,1,0,3.2102905,72.1880936
CLZR,1/16/2009,-15.2542339,-25.1881155,-32.7097318,103974,8/21/2006,2006,1,879,6.7787848,3.85,2009,2009,12390,6/30/2009,2009,123.17,0.8,77.444,0,2.632,0,-17.508,116.58,0,0.491,56.421,0,23.1818,3845,6,68.462,-12.041,-15.543,-4.126,-17.167,4.813565515,0,0.188209791,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2006,149.176,0.715,100.012,0,0.571,0,20.673,149.466,0,9.834,78.582,0,375.311,70.378,8.204,14.493,2.491,3.353,5.005126817,0,2.515893978,0.411,342098,22706,0.7562,152778.95,6.728571743,189319.05,8.337842421,0,1,17,0,1,0,19.5490614,28.9768639
FBP,7/24/2007,-14.4465293,-0.891949,-0.8101879,103530,8/25/2005,2005,7,698,6.5482192,74.25,2007,2007,16821,12/31/2007,2007,17186.931,0,871.546,443.36,20.963,0,0,1236.012,0,0,0,0,674.3542,6020,12,0,0,208.021,0,0,9.751904548,0.025796345,0.039236452,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2005,19917.651,0,647.741,693.315,19.121,0,0,1130.667,0,0,0,0,1003.6588,0,0,260.566,0,0,9.899361602,0.034809075,0.05039042,9.9,775100,83254,-1.9804,465731.6083,5.594104888,309368.3917,3.715958292,-1,0,4,0,0,0,7.8928989,50.0488901
AIM,8/9/2005,17.61102015,28.08997442,25.13324778,102920,3/17/2003,2003,8,876,6.7753663,5.35,2005,2005,1173,1/31/2005,2004,18.463,0.629,10.484,2.794,0.654,3.037,0.071,30.721,0.197,0.302,9.121,0,20.7813,3812,1,0,0,0,0,0,2.915768729,0.151329686,1.125564643,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.15,7000,3921,0.6745,9400,2.397347615,-2400,-0.612088753,0,0,12,0,1,0,29.8942313,4.1906657
KO,7/3/2008,-2.7600405,-0.5838929,-0.6141269,101721,3/6/2000,2000,7,3041,8.0199413,137.5,2008,2008,3144,12/31/2008,2008,40519,1968,20472,2781,1066,3246,8796,31944,0,1942,-812,0,104664.24,2086,12,-1120,308,7520,5644,5959,10.60952628,0.068634468,2.583090402,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.48,7453700,2322806,0.1094,10787087.5,4.643989855,-3333387.5,-1.435069265,0,33,36,1,1,0,3.539297,63.2757849
CDNS,6/15/2011,-3.3175393,1.72546992,1.76379856,104138,10/22/2008,2008,6,966,6.8731637,38,2011,2011,13421,12/31/2011,2011,1761.269,31.421,411.13,131.92,82.316,425.981,123.335,1149.835,0,18.961,48.617,0,2835.872,7372,12,181.858,-133.241,7.186,288.51,296.065,7.473789851,0.07490054,1.610129969,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2008,1678.714,97.29,101.968,500.178,122.085,500.178,-158.799,1038.614,0,33.647,390.338,0,943.7566,744.076,-353.738,310.907,186.087,336.865,7.425783303,0.297953076,0.562190224,10.09,3465801,268942,-1.7432,2976883.067,11.0688664,488917.9333,1.817930756,0,3,17,1,1,0,5.232003,91.3371582
CBM,12/20/2007,3.67299068,22.53913152,20.66685334,102894,7/25/2003,2003,12,1609,7.383368,3.15,2007,2007,13839,12/31/2007,2007,373.462,25.927,102.057,101.6,19.799,101.6,-1.17,252.245,0,17.869,69.148,0,243.1457,2833,12,117.616,-48.468,35.199,23.301,31.5,5.922816259,0.272049097,0.651058742,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59,146900,28990,0.49,294190,10.14798206,-147290,-5.080717489,0,0,6,0,0,0,4.2236418,99.8318449
IBM,5/30/2008,-0.4348132,-0.775337,-0.864054,103474,4/15/2005,2005,5,1141,7.0396605,20,2008,2008,6066,12/31/2008,2008,109524,4171,13465,22689,5450,31631,16750,103630,0,2111,6569,0,112698.3194,7370,12,8867,-2298,14360,18216,8025,11.60389898,0.207160075,1.028982866,ACCOUNTING AND INSIDER TRADING,1,1,0,0,0,2005,105748,3842,33098,15425,5188,18413,11714,91134,775,1994,10509,0,129381.156,7172,3337,11848,7729,0,11.56881418,0.145865643,1.223485607,129.42999,8652900,1373479,0.1516,8709979.167,6.341545205,-57079.16667,-0.041558092,0,160,490,1,1,1,2.4852193,44.6326098
AAPL,9/28/2010,4.57388488,1.09210987,1.03675607,103658,8/11/2006,2006,9,1509,7.3192024,16.5,2010,2010,1690,9/30/2010,2010,75183,2005,47791,0,932,0,18385,65225,0,2697,20956,0,259906.4875,3663,9,20049,907,11740,13708,8832,11.22768042,0,3.45698479,ACCOUNTING (OPTION DATING),1,0,0,0,0,2006,17205,657,9984,0,209.8,0,2453,19315,0,194,8038,0,65838.1457,6816,1222,1650,589.8,-902.3,9.752955318,0,3.82668676,286.85999,38283236,915970,0.485,24323444.82,26.55484876,13959791.18,15.24044585,0,185,186,1,1,1,2.3108824,62.8740045
