CIK,FDATE,Form,tic
3673,20040311,10-K,AYE
3673,20070503,8-K,AYE
3673,20080716,8-K,AYE
3673,20050429,8-K,AYE
3673,20060908,8-K,AYE
3673,20070316,8-K,AYE
3673,20040209,8-K,AYE
3673,20101101,8-K,AYE
3673,20101027,8-K,AYE
3673,20040510,8-K,AYE
3673,20091016,8-K,AYE
3673,20041217,8-K,AYE
3673,20091209,8-K,AYE
3673,20110225,8-K,AYE
3673,20050524,8-K,AYE
3673,20040908,8-K,AYE
3673,20050930,8-K,AYE
3673,20040806,8-K,AYE
3673,20090804,8-K,AYE
3673,20090417,8-K,AYE
3673,20041206,8-K,AYE
3673,20070727,8-K,AYE
3673,20091223,8-K,AYE
3673,20050701,8-K,AYE
3673,20070917,8-K,AYE
3673,20070209,8-K,AYE
3673,20100609,8-K,AYE
3673,20031219,8-K,AYE
3673,20040806,8-K,AYE
3673,20070828,8-K,AYE
3673,20050218,8-K,AYE
3673,20081210,8-K,AYE
3673,20061006,8-K,AYE
3673,20110223,10-K,AYE
3673,20041105,8-K,AYE
3673,20101027,8-K,AYE
3673,20080520,8-K,AYE
3673,20080821,8-K,AYE
3673,20080722,8-K,AYE
3673,20040123,8-K,AYE
3673,20050727,8-K,AYE
3673,20080131,8-K,AYE
3673,20050107,8-K,AYE
3673,20081002,8-K,AYE
3673,20060525,8-K,AYE
3673,20090505,8-K,AYE
3673,20100128,8-K,AYE
3673,20091029,8-K,AYE
3673,20041008,8-K,AYE
3673,20091006,8-K,AYE
3673,20110223,8-K,AYE
3673,20091022,8-K,AYE
3673,20060815,8-K,AYE
3673,20100304,8-K,AYE
3673,20080208,8-K,AYE
3673,20090605,8-K,AYE
3673,20071025,8-K,AYE
3673,20100804,8-K,AYE
3673,20081229,8-K,AYE
3673,20100917,8-K,AYE
3673,20040702,8-K,AYE
3673,20100211,8-K,AYE
3673,20051206,8-K,AYE
3673,20060914,8-K,AYE
3673,20060307,8-K,AYE
3673,20041124,8-K,AYE
3673,20070928,8-K,AYE
3673,20041209,8-K,AYE
3673,20080227,10-K,AYE
3673,20081103,8-K,AYE
3673,20090211,8-K,AYE
3673,20050401,8-K,AYE
3673,20100301,10-K,AYE
3673,20061027,8-K,AYE
3673,20050106,8-K,AYE
3673,20090825,8-K,AYE
3673,20090929,8-K,AYE
3673,20060718,8-K,AYE
3673,20071213,8-K,AYE
3673,20061026,8-K,AYE
3673,20100607,8-K,AYE
3673,20050510,8-K,AYE
3673,20050721,8-K,AYE
3673,20050818,8-K,AYE
3673,20050414,8-K,AYE
3673,20100205,8-K,AYE
3673,20060508,8-K,AYE
3673,20100204,8-K,AYE
3673,20090526,8-K,AYE
3673,20061103,8-K,AYE
3673,20050310,10-K,AYE
3673,20041124,8-K,AYE
3673,20040520,8-K,AYE
3673,20100505,8-K,AYE
3673,20101215,8-K,AYE
3673,20100211,8-K,AYE
3673,20050426,8-K,AYE
3673,20060301,10-K,AYE
3673,20050531,8-K,AYE
3673,20090803,8-K,AYE
3673,20070905,8-K,AYE
3673,20060307,8-K,AYE
3673,20061024,8-K,AYE
3673,20071009,8-K,AYE
3673,20060531,8-K,AYE
3673,20070417,8-K,AYE
3673,20070524,8-K,AYE
3673,20060728,8-K,AYE
3673,20060719,8-K,AYE
3673,20090302,10-K,AYE
3673,20080501,8-K,AYE
3673,20050324,8-K,AYE
3673,20080228,8-K,AYE
3673,20060106,8-K,AYE
3673,20040224,8-K,AYE
3673,20070306,8-K,AYE
3673,20050923,8-K,AYE
3673,20060106,8-K,AYE
3673,20041006,8-K,AYE
3673,20091223,8-K,AYE
3673,20070727,8-K,AYE
3673,20070228,10-K,AYE
3673,20050729,8-K,AYE
3673,20041022,8-K,AYE
3673,20071212,8-K,AYE
3673,20060512,8-K,AYE
3673,20060621,8-K,AYE
3673,20090911,8-K,AYE
3673,20070427,8-K,AYE
3673,20040702,8-K,AYE
3673,20051107,8-K,AYE
3673,20090810,8-K,AYE
3673,20060210,8-K,AYE
3673,20060822,8-K,AYE
3673,20040625,8-K,AYE
3673,20061213,8-K,AYE
3673,20040311,8-K,AYE
3673,20050408,8-K,AYE
3673,20100524,8-K,AYE
3673,20090710,8-K,AYE
3673,20060427,8-K,AYE
3673,20040930,8-K,AYE
3673,20051028,8-K,AYE
3673,20050622,8-K,AYE
3673,20090922,8-K,AYE
3673,20090710,8-K,AYE
3673,20080812,8-K,AYE
3673,20100506,8-K,AYE
3673,20080731,8-K,AYE
3673,20090506,8-K,AYE
3673,20040311,10-K,AYE
3673,20070503,8-K,AYE
3673,20080716,8-K,AYE
3673,20050429,8-K,AYE
3673,20060908,8-K,AYE
3673,20070316,8-K,AYE
3673,20040209,8-K,AYE
3673,20101101,8-K,AYE
