gvkey,datadate,fyear,tic,at,capx,ceq,dltt,dp,dt,ebit,revt,setp,txpd,wcap,xintd,mkvalt,sic
1173,1/31/2005,2004,AIM,18.463,0.629,10.484,2.794,0.654,3.037,0.071,30.721,0.197,0.302,9.121,,20.7813,3812
1173,1/31/2006,2005,AIM,20.212,0.455,13.079,2.564,0.665,2.794,2.308,34.763,,0,11.609,,27.489,3812
1173,1/31/2007,2006,AIM,17.735,0.378,11.266,2.334,0.632,2.564,1.11,31.253,,0,9.688,,25.0467,3812
1173,1/31/2008,2007,AIM,21.38,0.693,7.794,0,0.712,5.814,-3.862,25.41,,0.05,2.43,,17.885,3812
1173,1/31/2009,2008,AIM,17.761,0.118,2.807,0,0.618,5.475,-5.582,20.451,0.944,0,-0.945,,3.077,3812
1173,1/31/2010,2009,AIM,21.476,1.991,7.72,0,0.49,5.768,4.405,31.136,0.55,0,2.326,,14.7001,3812
1173,1/31/2011,2010,AIM,23.678,0.908,8.835,4.985,0.502,6.24,1.871,29.618,0.235,0.067,8.496,,13.3839,3812
1173,1/31/2012,2011,AIM,23.035,1.068,9.415,4.278,0.541,5.031,1.341,29.607,,0,8.246,,12.7426,3812
1173,1/31/2013,2012,AIM,23.324,0.78,12.04,4.414,0.545,5.177,1.778,31.021,,0.053,9.084,,15.4674,3812
1177,12/31/2004,2004,AET,42133.7,,9081.4,1609.7,182.2,,,19942.6,,,,,18276.2493,6324
1177,12/31/2004,2004,AET,42133.7,190.3,9081.4,1609.7,182.2,1609.7,2048.6,19904.1,,-331,12504.9,,18276.2493,6324
1177,12/31/2005,2005,AET,44364.6,,10104.9,1155.7,204.4,,,22530.1,,,,,26713.3075,6324
1177,12/31/2005,2005,AET,44364.6,271.6,10104.9,1155.7,204.4,1605.7,2603.5,22491.9,,247,10617.9,,26713.3075,6324
1177,12/31/2006,2006,AET,47626.4,,9145.1,2442.3,270.4,,,25180.7,,,,,22280.88,6324
1177,12/31/2006,2006,AET,47626.4,290.5,9145.1,2442.3,270.4,2442.3,2712.6,25145.7,-72.4,732,11200.8,,22280.88,6324
1177,12/31/2007,2007,AET,50724.7,,10038.4,3138.5,321.5,,,27639,,,,,28651.399,6324
1177,12/31/2007,2007,AET,50724.7,400.4,10038.4,3138.5,321.5,3138.5,2912.7,27599.6,,783.2,-2386.3,,28651.399,6324
