rdate,cusip,stkname,tic,exchcd,stkcd,stkcdesc,prc,shrout,Top5InstOwn,Top10InstOwn,NumInstBlockOwners,InstBlockOwn,NumInstOwners,MaxInstOwn,InstOwn,InstOwn_HHI,InstOwn_Perc
3/31/2004,00089C10,ADE CORP MASS,ADEX,V,0,COM,19.65,13982,5381665,6263705,2,4293722,59,3476022,7658091,0.228441713,0.5477107
3/31/2004,195750,AT&T CORP,T,A,0,COM,19.57,793523,270344938,338761883,2,186363028,398,99223929,576038405,0.06559809,0.725925279
3/31/2004,00246W10,AXT INC,AXTI,V,0,COM,3.26,22961,6397758,7884476,1,3225000,26,3225000,8746229,0.180049554,0.380916728
3/31/2004,256410,ABATIX CORP,ABIX,F,0,COM,4.22,1711,1536,1536,0,,2,900,1536,0.514770508,0.000897721
3/31/2004,289620,ABERCROMBIE & FITCH CO,ANF,A,0,CMA,33.84,96466,29772843,39442303,3,24328613,246,9393229,84214793,0.038166534,0.872999741
3/31/2004,786510,AEROPOSTALE,ARO,A,0,COM,36.26,37863,7584259,11331093,1,2610900,173,2610900,31290426,0.022509764,0.826411695
3/31/2004,801530,AEROSONIC CORP DEL,AIM,B,0,COM,7.95,3921,148524,148724,0,,6,79500,148724,0.394733525,0.03793012
3/31/2004,00817Y10,AETNA INC NEW,AET,A,0,COM,89.72,154721,26809144,48326873,0,,395,6382000,131228065,0.02012066,0.848159364
3/31/2004,1736110,ALLEGHENY ENERGY INC,AYE,A,0,COM,13.71,126969,30238917,52964328,1,7286851,218,7286851,95185989,0.037616764,0.749678969
3/31/2004,1864210,ALLIANCEBERNSTEIN MUN INCM,ALTH,I,7,,10.46,,20792,20792,0,,1,20792,20792,1,
3/31/2004,1977710,ALLOS THERAPEUTICS INC,ALTH,V,0,COM,4.8,31104,8464982,10726842,2,5660100,48,3160100,14099133,0.105175854,0.453290027
3/31/2004,01988P10,ALLSCRIPTS HEALTHCARE SOLUTI,MDRX,V,0,COM,9.7,38932,7916409,11212839,1,2468644,84,2468644,19229104,0.050005217,0.493915134
3/31/2004,2313510,AMAZON COM INC,AMZN,V,0,COM,43.28,404331,130176188,162560769,2,94262890,251,54766448,231595859,0.101209116,0.572787788
3/31/2004,2317710,AMBASSADORS GROUP INC,EPAX,V,0,COM,24.75,9974,3295074,4511064,3,2487469,40,1053098,5656717,0.090745763,0.56714628
3/31/2004,2343610,AMEDISYS INC,AMED,V,0,COM,24.57,12145,3055914,4244394,2,2145487,52,1458444,6606680,0.07844713,0.543983532
3/31/2004,2358610,AMERCO,UHAL,V,0,COM,23.6,20626,1787012,2162797,0,,38,679334,2613012,0.137921009,0.126685349
3/31/2004,2535310,AMERICAN DENTAL PARTNERS,ADPI,V,0,COM,17.75,7461,2778670,3040446,3,2514260,15,1371760,3102456,0.268849233,0.41582308
3/31/2004,2687410,AMERICAN INTL GROUP INC,AIG,A,0,COM,71.35,2608948,456167640,650496843,1,143298058,1175,143298058,1577621069,0.024537605,0.604696249
3/31/2004,3011110,AMERICAN SUPERCONDUCTOR CORP,AMSC,V,0,COM,12.84,27399,5750848,7659848,1,2544618,74,2544618,11112153,0.083885779,0.405567831
3/31/2004,03073T10,AMERIGROUP CORP,AGP,V,0,COM,45.7,24631,9602911,12365762,3,7654311,133,2681550,23503007,0.04617725,0.954204336
3/31/2004,3165210,AMKOR TECHNOLOGY INC,AMKR,V,0,COM,14.63,174644,26802738,37904899,1,8772700,153,8772700,66640626,0.04638983,0.38157982
3/31/2004,3455310,ANDRX CORP DEL,ADRX,V,0,COM,27.2,72030,14901258,22064815,1,4738756,190,4738756,50317428,0.029636853,0.698562099
