,tic,Class_end,settledate,year,Month,gap,sic,lgap,settleamt,CIK,filedate,Form,diff
0,AAPL,11/8/2006,2010-09-28,2010,9,1509,3571,7.319202400000001,0,320193.0,2010-11-17,8-K,-50 days +00:00:00.000000000
1,AAPL,11/8/2006,2010-09-28,2010,9,1509,3571,7.319202400000001,0,320193.0,2010-10-27,10-K,-29 days +00:00:00.000000000
2,AAPL,11/8/2006,2010-09-28,2010,9,1509,3571,7.319202400000001,0,320193.0,2010-10-18,8-K,-20 days +00:00:00.000000000
3,AAPL,11/8/2006,2010-09-28,2010,9,1509,3571,7.319202400000001,0,320193.0,2010-04-20,8-K,161 days 00:00:00.000000000
4,AAPL,11/8/2006,2010-09-28,2010,9,1509,3571,7.319202400000001,0,320193.0,2010-03-12,8-K,200 days 00:00:00.000000000
5,AAPL,11/8/2006,2010-09-28,2010,9,1509,3571,7.319202400000001,0,320193.0,2010-03-01,8-K,211 days 00:00:00.000000000
6,AAPL,11/8/2006,2010-09-28,2010,9,1509,3571,7.319202400000001,0,320193.0,2010-01-25,8-K,246 days 00:00:00.000000000
7,AAPL,11/8/2006,2010-09-28,2010,9,1509,3571,7.319202400000001,0,320193.0,2010-01-25,10-K/A,246 days 00:00:00.000000000
8,AAPL,11/8/2006,2010-09-28,2010,9,1509,3571,7.319202400000001,0,320193.0,2010-07-20,8-K,70 days 00:00:00.000000000
9,AAPL,11/8/2006,2010-09-28,2010,9,1509,3571,7.319202400000001,0,320193.0,2010-11-17,8-K,-50 days +00:00:00.000000000
10,AAPL,11/8/2006,2010-09-28,2010,9,1509,3571,7.319202400000001,0,320193.0,2010-10-27,10-K,-29 days +00:00:00.000000000
11,AAPL,11/8/2006,2010-09-28,2010,9,1509,3571,7.319202400000001,0,320193.0,2010-10-18,8-K,-20 days +00:00:00.000000000
12,AAPL,11/8/2006,2010-09-28,2010,9,1509,3571,7.319202400000001,0,320193.0,2010-04-20,8-K,161 days 00:00:00.000000000
13,AAPL,11/8/2006,2010-09-28,2010,9,1509,3571,7.319202400000001,0,320193.0,2010-03-12,8-K,200 days 00:00:00.000000000
14,AAPL,11/8/2006,2010-09-28,2010,9,1509,3571,7.319202400000001,0,320193.0,2010-03-01,8-K,211 days 00:00:00.000000000
15,AAPL,11/8/2006,2010-09-28,2010,9,1509,3571,7.319202400000001,0,320193.0,2010-01-25,8-K,246 days 00:00:00.000000000
16,AAPL,11/8/2006,2010-09-28,2010,9,1509,3571,7.319202400000001,0,320193.0,2010-01-25,10-K/A,246 days 00:00:00.000000000
17,AAPL,11/8/2006,2010-09-28,2010,9,1509,3571,7.319202400000001,0,320193.0,2010-07-20,8-K,70 days 00:00:00.000000000
18,ABIX,16/04/2004,2005-05-06,2005,5,385,5190,5.9532433,900000,845779.0,2005-11-08,8-K,-186 days +00:00:00.000000000
19,ABIX,16/04/2004,2005-05-06,2005,5,385,5190,5.9532433,900000,845779.0,2005-08-16,8-K,-102 days +00:00:00.000000000
20,ABIX,16/04/2004,2005-05-06,2005,5,385,5190,5.9532433,900000,845779.0,2005-08-03,8-K,-89 days +00:00:00.000000000
21,ABIX,16/04/2004,2005-05-06,2005,5,385,5190,5.9532433,900000,845779.0,2005-06-07,8-K,-32 days +00:00:00.000000000
22,ABIX,16/04/2004,2005-05-06,2005,5,385,5190,5.9532433,900000,845779.0,2005-05-20,8-K,-14 days +00:00:00.000000000
23,ABIX,16/04/2004,2005-05-06,2005,5,385,5190,5.9532433,900000,845779.0,2005-05-10,8-K,-4 days +00:00:00.000000000
24,ABIX,16/04/2004,2005-05-06,2005,5,385,5190,5.9532433,900000,845779.0,2005-04-06,8-K,30 days 00:00:00.000000000
25,ABIX,16/04/2004,2005-05-06,2005,5,385,5190,5.9532433,900000,845779.0,2005-03-28,10-K,39 days 00:00:00.000000000
26,ABIX,16/04/2004,2005-05-06,2005,5,385,5190,5.9532433,900000,845779.0,2005-10-19,8-K,-166 days +00:00:00.000000000
27,ABIX,16/04/2004,2005-05-06,2005,5,385,5190,5.9532433,900000,845779.0,2005-03-15,8-K,52 days 00:00:00.000000000
28,ABIX,16/04/2004,2005-05-06,2005,5,385,5190,5.9532433,900000,845779.0,2005-11-08,8-K,-186 days +00:00:00.000000000
29,ABIX,16/04/2004,2005-05-06,2005,5,385,5190,5.9532433,900000,845779.0,2005-08-16,8-K,-102 days +00:00:00.000000000
30,ABIX,16/04/2004,2005-05-06,2005,5,385,5190,5.9532433,900000,845779.0,2005-08-03,8-K,-89 days +00:00:00.000000000
31,ABIX,16/04/2004,2005-05-06,2005,5,385,5190,5.9532433,900000,845779.0,2005-06-07,8-K,-32 days +00:00:00.000000000
