Settle_date,Class_end,tic,News_ST,News_CE,News_Winner_ST,News_Winner_CE,confounding
17/09/2008,16/03/2005,GM,444,427,1,1,1
28/09/2010,11/8/2006,AAPL,185,186,1,1,1
8/9/2014,2/12/2008,MS,161,188,1,1,1
30/05/2008,15/04/2005,IBM,160,490,1,1,1
9/9/2013,13/06/2007,SNY,94,167,1,1,1
29/08/2012,2/11/2007,C,84,413,1,1,1
2/3/2006,22/08/2002,T,71,253,1,1,1
30/09/2014,13/10/2004,AIG,71,140,1,1,1
16/12/2009,8/9/2006,DELL,66,107,1,1,0
29/04/2013,27/02/2009,GE,51,74,1,1,0
29/01/2014,1/3/2011,WFT,49,73,1,1,0
10/3/2011,19/02/2008,CS,48,44,1,1,0
7/11/2008,27/04/2005,TAP,46,45,1,1,0
30/11/2012,17/01/2009,BAC,44,179,1,1,0
2/3/2006,19/04/2000,BMY,40,41,1,1,0
13/03/2012,5/3/2008,CIT,39,8,1,0,0
23/06/2008,1/7/2004,JPM,34,110,1,1,0
3/7/2008,6/3/2000,KO,33,36,1,1,0
24/02/2005,22/04/1997,NOVL,28,42,1,1,0
30/04/2010,13/07/2006,BRCM,27,17,1,1,0
15/02/2013,21/07/2009,LMT,25,46,1,1,0
20/12/2012,17/06/2008,FITB,24,109,1,1,0
14/12/2007,27/04/2005,MATK,24,19,1,1,0
29/02/2008,5/5/2006,ZLC,24,12,1,1,0
27/03/2008,27/07/2000,XRX,22,49,1,1,0
7/2/2006,8/10/2002,AYE,22,30,1,1,0
18/08/2009,8/8/2006,BMY,20,48,1,1,0
21/07/2014,19/10/2009,STT,20,26,1,1,0
24/05/2007,11/8/2005,RRGB,19,23,1,1,0
28/08/2006,6/2/2001,CSCO,17,143,1,1,0
5/5/2006,18/06/2001,LVLT,17,55,1,1,0
10/3/2005,24/04/2002,DYN,17,51,1,1,0
28/06/2010,28/10/2003,GILD,16,38,1,1,0
11/1/2010,6/10/2005,SGY,16,6,1,0,0
30/07/2007,4/2/2003,UNM,16,0,1,0,0
9/6/2009,3/10/2006,MRVL,15,26,1,1,0
14/01/2009,16/01/2002,SONS,15,11,1,0,0
19/10/2010,11/12/2006,LPL,15,0,1,0,0
20/10/2006,26/04/2005,NEM,14,42,1,1,0
10/5/2005,7/6/2001,AET,14,21,1,1,0
12/12/2006,25/04/2002,VRSN,13,54,1,1,0
5/5/2009,27/03/2007,BZH,13,53,1,1,0
22/06/2010,16/08/2005,ANF,13,38,1,1,0
27/07/2007,2/7/2004,KVHI,13,1,1,0,0
21/02/2006,26/09/2001,TXT,12,56,1,1,0
7/6/2013,28/03/2008,MRK,12,40,1,1,0
3/11/2006,13/10/1999,ANF,12,35,1,1,0
2/8/2010,29/04/2008,GIL,12,32,1,1,0
29/08/2005,26/06/2002,CRY,12,14,1,1,0
30/10/2009,14/07/2006,THLD,12,8,1,0,0
11/3/2008,20/10/2005,NAFC,12,5,1,0,0
26/10/2006,29/05/2002,EP,11,122,1,1,0
28/08/2013,10/3/2008,BX,11,17,1,1,0
29/01/2014,3/8/2011,ARO,11,16,1,1,0
13/11/2009,14/10/2004,MMC,10,117,1,1,0
30/03/2009,26/09/2002,ABX,10,52,1,1,0
12/4/2010,22/05/2006,JNPR,10,32,1,1,0
2/7/2010,14/06/2006,HRLY,10,31,1,1,0
27/06/2005,26/02/2001,BRCM,10,17,1,1,0
11/2/2011,26/07/2006,PNRA,10,13,1,1,0
31/08/2010,9/6/2009,SKH,10,12,1,1,0
9/8/2013,30/11/2007,PAY,10,0,1,0,0
10/3/2005,30/10/2000,AMZN,9,143,1,1,0
4/3/2013,16/12/2011,LRN,9,10,1,0,0
20/11/2013,5/4/2011,AMSC,8,97,1,1,0
14/01/2005,26/07/2002,XEL,8,44,1,1,0
28/08/2009,13/10/2004,HIG,8,26,1,1,0
6/5/2005,11/6/2003,ITMN,8,25,1,1,0
30/07/2010,31/10/2008,ATRC,8,19,1,1,0
6/6/2008,12/4/2005,LAVA,8,14,1,1,0
16/02/2010,16/04/2007,NLST,8,9,1,0,0
10/11/2008,4/4/2002,KGC,8,6,1,0,0
31/01/2013,9/4/2009,FAZ,8,0,1,0,0
6/8/2012,19/01/2011,MNKD,7,23,1,1,0
9/6/2011,4/2/2004,BEN,7,19,1,1,0
31/10/2013,27/07/2011,SQNS,7,15,1,1,0
9/5/2013,18/10/2009,HNSN,7,10,1,0,0
19/10/2005,8/5/1998,PSSI,7,8,1,0,0
30/10/2007,8/10/2001,RCII,7,7,1,0,0
12/11/2009,17/04/2007,OCNW,7,4,1,0,0
10/7/2006,13/06/2006,ADEX,7,1,1,0,0
14/07/2005,11/2/2002,MED,7,0,1,0,0
23/12/2008,1/9/2004,FRX,6,24,1,1,0
11/10/2006,6/1/2005,TASR,6,19,1,1,0
13/12/2013,13/05/2010,AMED,6,18,1,1,0
5/11/2007,2/12/2003,CECO,6,18,1,1,0
24/06/2005,29/12/2003,MUSE,6,18,1,1,0
28/11/2005,26/09/2002,SLR,6,17,1,1,0
27/03/2014,17/10/2011,HSP,6,15,1,1,0
19/11/2009,3/7/2006,QSFT,6,13,1,1,0
12/10/2009,17/05/2007,SNIC,6,13,1,1,0
11/2/2005,27/04/1999,MCK,6,11,1,0,0
30/06/2011,31/10/2007,WM,6,10,1,0,0
22/05/2007,10/5/2002,CMS,6,9,1,0,0
2/5/2007,1/4/2002,SWC,6,9,1,0,0
1/6/2012,25/02/2010,BXS,6,8,1,0,0
23/08/2006,29/06/2004,THOR,6,7,1,0,0
17/03/2014,21/01/2009,SNV,6,6,1,0,0
5/10/2011,28/06/2004,WM,6,5,1,0,0
27/02/2009,15/06/2006,SRZ,6,2,1,0,0
22/08/2005,25/07/2003,HTRN,6,1,1,0,0
11/9/2009,5/2/2007,GSAT,5,16,1,1,0
8/11/2013,15/01/2008,DBD,5,10,1,0,0
2/6/2008,3/11/2005,FARO,5,10,1,0,0
15/11/2010,8/8/2007,LLNW,5,10,1,0,0
28/01/2011,12/11/2008,JASO,5,9,1,0,0
26/04/2012,2/8/2007,PLL,5,7,1,0,0
16/04/2008,24/03/2006,CAO,5,5,1,0,0
9/11/2010,30/10/2009,HEB,5,3,1,0,0
29/04/2014,10/11/2011,KOS,5,3,1,0,0
28/10/2010,8/11/2005,TOL,4,57,1,1,0
17/08/2009,31/05/2006,VG,4,47,1,1,0
5/10/2012,3/11/2009,STEC,4,43,1,1,0
14/05/2012,26/11/2007,ARB,4,25,1,1,0
1/6/2005,6/5/2004,DSGX,4,20,1,1,0
7/2/2007,26/06/2000,HLIT,4,19,1,1,0
29/03/2005,18/02/1997,FLR,4,17,1,1,0
