tic,Class_end,settledate,year,Month,gap,sic,lgap,settleamt,tic
AAPL,11/8/2006,9/28/2010,2010,9,1509,3571,7.3192024,16.5,AAPL
ABIX,16/04/2004,5/6/2005,2005,5,385,5190,5.9532433,0.9,ABIX
ACUR,22/04/2010,10/31/2011,2011,10,557,2834,6.3225651,1.5,ACUR
ADAT,27/05/2005,1/27/2011,2011,1,2071,7372,7.635787,1.9,ADAT
ADEX,13/06/2006,7/10/2006,2006,7,27,3820,5.4116459,0,ADEX
ADPI,13/12/2007,12/15/2009,2009,12,733,8090,6.5971456,6,ADPI
ADRX,4/3/2003,6/10/2005,2005,6,829,2834,6.7202201,2.5,ADRX
ADUS,26/03/2010,3/21/2011,2011,3,360,9999,5.8861041,3,ADUS
AET,7/6/2001,5/10/2005,2005,5,1433,6324,7.2675252,5,AET
AGP,28/09/2005,11/13/2006,2006,11,411,6324,6.0185933,0,AGP
AIM,17/03/2003,8/9/2005,2005,8,876,3812,6.7753663,5.35,AIM
ALTH,3/5/2004,2/21/2008,2008,2,1389,2830,7.2363396,0,ALTH
AMCC,5/2/2001,3/17/2005,2005,3,1501,3670,7.3138866,60,AMCC
AMED,13/05/2010,12/13/2013,2013,12,1310,8080,7.1777825,0,AMED
AMZN,30/10/2000,3/10/2005,2005,3,1592,7370,7.3727465,27.5,AMZN
ANF,13/10/1999,11/3/2006,2006,11,2578,5651,7.8547692,0,ANF
ANF,16/08/2005,6/22/2010,2010,6,1771,5651,7.4792995,0,ANF
APSG,22/02/2005,4/2/2009,2009,4,1500,3661,7.3132205,2.7,APSG
ARB,26/11/2007,5/14/2012,2012,5,1631,7389,7.3969488,0,ARB
ARO,3/8/2011,1/29/2014,2014,1,910,5641,6.8134446,0,ARO
ARTC,23/01/2008,2/9/2012,2012,2,1478,3845,7.2984452,0,ARTC
ARTX,14/11/2005,1/7/2010,2010,1,1515,3691,7.3231707,0,ARTX
ATRC,31/10/2008,7/30/2010,2010,7,637,3841,6.4567695,0,ATRC
ATX,22/04/1999,7/20/2005,2005,7,2281,3951,7.7323694,1.5,ATX
AXTI,27/04/2004,5/24/2007,2007,5,1122,3674,7.0228682,0,AXTI
AYE,8/10/2002,2/7/2006,2006,2,1218,4911,7.1049652,15.05,AYE
BAC,17/01/2009,11/30/2012,2012,11,1413,6021,7.2534704,0,BAC
BBND,28/09/2007,4/6/2009,2009,4,556,3663,6.3207684,0,BBND
BEL,22/07/2004,11/16/2005,2005,11,482,2879,6.1779442,0,BEL
BEN,4/2/2004,6/9/2011,2011,6,2682,6282,7.8943181,0,BEN
BKR,22/02/2008,4/3/2009,2009,4,406,8711,6.0063534,0,BKR
BLUD,29/08/2005,5/14/2007,2007,5,623,2830,6.4345465,2.5,BLUD
BMY,19/04/2000,3/2/2006,2006,3,2143,2834,7.6699619,185,BMY
BMY,8/8/2006,8/18/2009,2009,8,1106,2834,7.0085053,0,BMY
BPOP,22/01/2009,6/17/2011,2011,6,876,6710,6.7753663,0,BPOP
BPT,4/8/2006,3/16/2009,2009,3,955,2911,6.8617115,43.25,BPT
BRCD,15/05/2005,10/24/2008,2008,10,1258,3572,7.1372786,0,BRCD
BRCM,26/02/2001,6/27/2005,2005,6,1582,3670,7.3664451,150,BRCM
BRCM,13/07/2006,4/30/2010,2010,4,1387,3670,7.2348986,0,BRCM
BRKS,22/05/2006,6/24/2008,2008,6,764,3550,6.6385679,0,BRKS
BX,10/3/2008,8/28/2013,2013,8,1997,6282,7.5994015,0,BX
BXS,25/02/2010,6/1/2012,2012,6,827,6022,6.7178049,0,BXS
BZH,27/03/2007,5/5/2009,2009,5,770,1531,6.6463904,0,BZH
C,2/11/2007,8/29/2012,2012,8,1762,6021,7.474205,0,C
CAO,24/03/2006,4/16/2008,2008,4,754,5013,6.6253924,0,CAO
CASH,12/10/2010,1/5/2012,2012,1,450,6020,6.1092477,2.1,CASH
CBI,3/2/2006,1/22/2008,2008,1,718,1629,6.5764694,10.5,CBI
CBM,25/07/2003,12/20/2007,2007,12,1609,2834,7.383368,0,CBM
CBR,3/8/2011,11/26/2013,2013,11,846,7371,6.7405195,0,CBR
CDNS,22/10/2008,6/15/2011,2011,6,966,7372,6.8731637,0,CDNS
CECO,2/12/2003,11/5/2007,2007,11,1434,8200,7.2682228,0,CECO
CECO,1/11/2011,11/4/2013,2013,11,734,8200,6.5985088,0,CECO
CERS,3/9/2003,9/8/2006,2006,9,1101,2830,7.003974,0,CERS
CGA,1/9/2010,3/18/2014,2014,3,1294,2873,7.1654935,0,CGA
CHE,16/11/2011,2/6/2014,2014,2,813,8082,6.7007313,0,CHE
CHTR,17/07/2002,2/15/2005,2005,2,944,4840,6.8501263,146.25,CHTR
CI,24/10/2002,1/24/2007,2007,1,1553,6324,7.3479438,93,CI
CIT,5/3/2008,3/13/2012,2012,3,1469,6021,7.2923369,0,CIT
CLZR,21/08/2006,1/16/2009,2009,1,879,3840,6.7787848,0,CLZR
CMA,1/10/2002,6/29/2005,2005,6,1002,6021,6.9097533,15,CMA
CMS,10/5/2002,5/22/2007,2007,5,1838,4931,7.5164332,200,CMS
CNC,15/07/2002,10/18/2010,2010,10,3017,6324,8.0120182,0,CNC
CNX,18/07/2002,2/2/2007,2007,2,1660,1222,7.4145727,2.7,CNX
COO,21/11/2005,7/29/2010,2010,7,1711,3851,7.4448333,27,COO
CRA,14/03/2000,3/18/2010,2010,3,3656,0,8.0385122,11,CRA
CRDS,26/07/2000,2/14/2005,2005,2,1664,3570,7.4169798,4.35,CRDS
CRI,24/07/2007,12/21/2011,2011,12,1611,2341,7.3846102,0,CRI
CRN,5/3/2002,8/26/2005,2005,8,1270,8744,7.1467724,0,CRN
CROX,31/10/2007,5/14/2012,2012,5,1657,3021,7.4127641,0,CROX
CRY,26/06/2002,8/29/2005,2005,8,1160,8099,7.0561752,23.25,CRY
CSCO,6/2/2001,8/28/2006,2006,8,2029,3674,7.6152983,99.25,CSCO
CTIC,8/2/2010,2/14/2012,2012,2,736,2834,6.6012301,0,CTIC
CVS,27/06/2001,6/6/2005,2005,6,1440,5912,7.2723985,110,CVS
CVTX,1/8/2003,12/8/2006,2006,12,1225,2836,7.1106963,0,CVTX
DBD,15/01/2008,11/8/2013,2013,11,2124,3578,7.6610565,0,DBD
DQE,30/04/2001,7/15/2005,2005,7,1537,4911,7.3375878,12,DQE
DYII,18/12/2003,10/18/2006,2006,10,1035,8080,6.9421568,0,DYII
EP,29/05/2002,10/26/2006,2006,10,1611,1311,7.3846102,0,EP
EPAX,23/10/2007,7/13/2011,2011,7,1359,4725,7.2145042,7.5,EPAX
ES,14/10/2008,11/19/2012,2012,11,1497,4955,7.3112183,0,ES
ESST,12/9/2002,4/30/2007,2007,4,1691,3670,7.4330754,3.5,ESST
FALC,29/09/2010,5/6/2013,2013,5,950,3572,6.856462,0,FALC
FARO,3/11/2005,6/2/2008,2008,6,942,3820,6.8480053,6.875,FARO
FBP,25/08/2005,7/24/2007,2007,7,698,6022,6.5482192,0,FBP
FIRE,9/4/2007,2/11/2009,2009,2,674,7375,6.5132303,3.00817,FIRE
FITB,17/06/2008,12/20/2012,2012,12,1647,6711,7.4067106,0,FITB
FLR,18/02/1997,3/29/2005,2005,3,2961,1623,7.9932823,18,FLR
FLS,27/09/2002,12/18/2009,2009,12,2639,3561,7.8781552,0,FLS
FRX,1/9/2004,12/23/2008,2008,12,1574,2834,7.3613753,0,FRX
GCT,10/3/2006,11/9/2007,2007,11,609,6513,6.4118185,0,GCT
GE,27/02/2009,4/29/2013,2013,4,1522,3511,7.3277807,0,GE
GILD,28/10/2003,6/28/2010,2010,6,2435,2830,7.7977018,8.25,GILD
GNSS,14/06/2002,6/14/2006,2006,6,1461,5060,7.2868762,1.75,GNSS
GSAT,5/2/2007,9/11/2009,2009,9,949,4899,6.8554087,0,GSAT
HCLP,21/11/2012,9/12/2014,2014,9,660,1446,6.49224,0,HCLP
HEB,30/10/2009,11/9/2010,2010,11,375,2836,5.9269261,0,HEB
