number,tic,settledate,classend,year,Month,gap,sic,lgap,settleamt,tic.1,case,classification,Accounting,Secondary Market & Trading,Financial Intermediatary,Non-Accounting disclsoure and misrepresentation,Others
103658,AAPL,9/28/2010,8/11/2006,2010,9,1509,3571,7.3192024,16.5,AAPL,"The original Complaint charges that Apple and certain of its officers and directors violated Sections 10(b), 14(a) and 20(a) of the Securities Exchange Act of 1934 and Rules 10-b(5) and 14a-9 promulgated thereunder. The action alleges that defendants made false and misleading statements and omissions concerning Apple's improper and undisclosed practice of backdating options conferred on certain executives which made it appear that such options were issued on dates when the market price of Apple stock was higher than actual market price on the actual grant dates. This improper backdating masked the virtually instant profits the option recipients obtained. Under generally accepted accounting principles, these profits were required to be recognized as an expense in the Company's financial statements for the appropriate period, but were not. Thus, the Company's financial statements in its Form 10-K filing for the fiscal year 2005 and interim financial statements for 2005 and 2006 were materially false and misleading. In addition, the Company's Proxy Statement for its annual shareholder meeting held in 2006 was materially false and misleading because it contained statements concealing Apple's practice of backdating stock options. The Complaint further alleges that as a result of defendants' actions, plaintiffs and the Class were damaged. According to the Companys Form 10-Q for the quarterly period ended June 28, 2008, plaintiffs filed this purported class action on August 24, 2006, in the United States District Court for the Northern District of California against the Company and certain of the Companys current and former officers and directors alleging improper backdating of stock option grants to maximize certain defendants profits, failing to properly account for those grants and issuing false financial statements. On January 19, 2007, the Court appointed the New York City Employees Retirement System as lead plaintiff. On March 23, 2007, plaintiffs filed a Consolidated Class Action Complaint. The Consolidated Complaint purports to be brought on behalf of several classes of holders of the Companys stock and asserts claims under Section 14(a) and 20(a) of the Securities Exchange Act as well as state law. The Consolidated Complaint seeks rescission of amendments to various stock option and other incentive compensation plans, an accounting and damages in an unspecified amount. Defendants filed a motion to dismiss on June 8, 2007, which was heard on September 7, 2007. On November 14, 2007, the Court issued an order dismissing all securities claims with prejudice, and held that any amended complaint could only be styled as a derivative case. On December 14, 2007, plaintiff filed a motion for leave to file a first amended consolidated class action complaint. On January 23, 2008, defendants filed an opposition to plaintiff??s motion. Plaintiff??s motion was heard on March 21, 2008. On May 14, 2008, the Court issued an order denying plaintiffs?? motion for leave to amend. The court entered judgment dismissing the case on June 12, 2008. On June 17, 2008, plaintiffs filed a notice of appeal. According to a press release dated January 28, 2010, Apple Inc. shareholders can refile a securities fraud claim in a group lawsuit against Chief Executive Officer Steve""s and the company alleging stock options manipulation, a federal appeals court ruled. A lower court erred when it decided that the New York City Employees?? Retirement System, the lead plaintiff in the investor lawsuit, couldn??t amend its complaint, the U.S. Court of Appeals in San Francisco said in today??s ruling. The appeals court upheld dismissal of""laim that investors were harmed by dilution of their shares. In 2008, a separate lawsuit was filed against Apple Inc. in the Northern District of California (08-CV-03123) claiming only Section 10(b) and 20 allegations.  As the cases progressed they became consolidated under the 2006 case docket. According to a recent news story, plaintiffs filed a class action against Apple, Inc., its CEO, CFO, former general counsel and certain board members for participating in a scheme to file false financial statements, thereby concealing millions of dollars in executive compensation though the backdating of stock option grants.  The report recounts that in June 2006, Apple acknowledged that an internal investigation had revealed irregularities in its stock option grants between 1997 and 2001.  It also said that one of the grants in question was to Mr. Jobs but that ""it was subsequently canceled and resulted in no financial gain to the CEO."" According to the complaint, Apple's share price dropped 14% in the two weeks after Apple's admission, erasing more than $7 billion in share value.  It is this loss that the plaintiffs hope to recover. InformationWeek further recalls that in December 2006, Apple said that as a result of its internal investigation, it would restate its financial results to include ""an additional non-cash stock-based compensation expense of $84 million after tax [$105 million pretax], including $4 million and $7 million in fiscal years 2006 and 2005, respectively.""  The company said it had found no irregular grants after Dec. 31, 2002. The report relates that the 105-page complaint asserts that Mr. Jobs and the other Apple executives named in the suit knew what was going on.  ""The defendants knew that options were not granted on",ACCOUNTING (OPTION DATING),1,0,0,0,0
103044,ABIX,5/6/2005,4/16/2004,2005,5,385,5190,5.9532433,0.9,ABIX,"By the Order and Final Judgment entered on August 12, 2005, the settlement and the Plan of Allocation are approved as fair, reasonable, and adequate. Plaintiffs' Counsel are hereby awarded 30% of the Gross Settlement Fund in fees, which sum the Court finds to be fair and reasonable, and $23,351.99 in reimbursement of expenses.  According to a press release dated April 7, 2005, Abatix Corp. said Wednesday that it has reached a preliminary agreement to settle a federal class-action shareholder lawsuit and a second suit filed in state District Court in Dallas. Abatix said it has agreed to settle both suits for $900,000. The company has been neck deep in shareholder lawsuits since its shares soared from about $4 to almost $17 in April 2004 and then collapsed to $2. Abatix became the target of five lawsuits involving dozens of shareholders alleging that the company made false statements about RapidCool. Those suits were consolidated into the one federal suit filed in U.S. District Court in Dallas. On May 19, 2004, the plaintiff in the first filed complaint titled Sinay, et al. v. Abatix Corporation, et al., docket number 04-cv-00297, filed a Notice of Voluntary Dismissal, and on May 25, 2004, the Court entered the Final Judgment dismissing the complaint without prejudice.  By the Order of the Court dated June 21, 2004, the remaining actions pending in the Northern District of Texas were consolidated under the action titled Family Medicine Specialists. et al. v. Abatix Corporation, et al., docket number 04-cv-00872.  Another similar purported class action filed in the U.S. District Court for the Eastern District of Texas was transferred to the Northern District of Texas. The Complaint alleges that defendants violated the Securities Exchange Act of 1934 by making a series of materially false and misleading statements concerning the Abatix's business agreement with Goodwin Group LLC during the Class Period. Specifically, the Complaint alleges that Abatix knew but failed to disclose certain material facts, including that: (i) the Company had not verified the proprietary nature of RapidCool or that the Company had in fact, obtained the 'exclusive worldwide rights to distribute RapidCool' (ii) that Abatix had not verified that Goodwin Group LLC was the assignee of patents relating to RapidCool products, nor had defendants verified the ownership of any patent applications filed with respect to the product line and (iii) defendants knew but failed to disclose that they had only been permitted to perform limited due diligence on the proprietary nature of RapidCool products before signing the distributorship agreement. As a result, the price of the Company's securities were artificially inflated during the Class Period.  Further, the complaint alleges that on April 21, 2004, the Company admitted that Abatix's April 14, 2004 press release announcing the signing of an agreement with Goodwin Group LLC to distribute the RapidCool (TM) product line created a significant increase in the price and volume of shares traded, 'which the Abatix believes was not warranted by Company developments.'  Note: A number of purported class actions complaints were filed since April 22, 2004. The first complaint was filed on behalf of all persons or entities that purchased or otherwise acquired Abatix's securities between April 14, 2004 at 5:05 p.m. (EST) and April 16, 2004, at 9:27 a.m. (EST). The subsequent complaints were filed on behalf of purchasers of the securities of Abatix between April 14, 2004 at 5:05 p.m. and April 21, 2004, at 8:24 a.m. (EST). All dates and times are inclusive ",NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0
104549,ACUR,10/31/2011,4/22/2010,2011,10,557,2834,6.3225651,1.5,ACUR,"According to the press release dated September 10, 2010, the complaint alleges that, during the Class Period, Acura and certain of its officers and directors concealed material adverse facts about the Company's lead product candidate, Acurox, an orally administered immediate release tablet containing oxycodone as its active ingredient and niacin as an oral abuse-deterrent. After repeated glowing announcements by Acura to its investors touting the strength of the clinical trials of Acurox and the drug's potential for obtaining FDA approval, and thus commercial viability, the market was stunned when, on April 20, 2010, the FDA posted, on its website, briefing materials for the April 22, 2010 meeting to consider the New Drug Application of Acurox advising that: Acura's Aversion Technology was nowhere near effective enough to warrant approval, that the Company's clinical data was defective, that its clinical studies were not properly designed, that the Company had wholly ignored specific directives from FDA over the past four years as to specific clinical trials and evidence Acura had to demonstrate, and that that no evidence had ever been presented to the FDA that the niacin additive discouraged abusers from abusing oxycodone. On this news, Acura's stock price declined 42.5% in one day, to close at $6.25 in afterhours trading. On April 22, 2010, the FDA Joint Panel voted 19-1 against approving Acurox. On the same day, it was reported that the FDA had been prodding Acura to demonstrate the deterrent efficacy of niacin since at least May 2009. As a result of these disclosures, Acura's stock price declined 39%, to $3.20 per share, in the pre-market trading on April 23, 2010. On January 11, 2011, the Honorable Virginia M. Kendall signed the Memorandum Opinion and Order appointing the Acura Shareholder Investors Group as lead plaintiff and approved its selection of Kahn Swick & Foti, LLC as lead counsel.  The lead plaintiff filed an Amended Complaint on March 14, 2011, amending the individual defendants named in the action.  The defendants responded by filing a motion to dismiss on May 13, 2011. On October 31, 2011, the plaintiffs filed a Motion for Preliminary Approval of Class Action Settlement and Notice to the Settlement Class.  The Settlement provides for a benefit to the Class in the amount of One Million Five Hundred Thousand Dollars ($1,500,000) in cash.  The settlement was preliminarily approved on November 10, 2011.  The Settlement Fairness Hearing is set for February 16, 2012. On March 14, 2012, this Action was dismissed in its entirety with prejudice as to all Defendants, pursuant to Rule 54(b) of the Federal Rules of Civil Procedure. ",FAILURE OF DISCLOSURE (NON-ACCOUNTING),0,0,0,1,0
103450,ADAT,1/27/2011,5/27/2005,2011,1,2071,7372,7.635787,1.9,ADAT,"The complaint charges AuthentiDate and certain of its officers and directors with violations of the Securities Exchange Act of 1934. AuthentiDate provides web-based content authentication services that address the verification of digital information in all business processes.  Specifically, the complaint alleges that during the Class Period, defendants made materially false and misleading statements regarding the Company's business and prospects, specifically about revenues to be derived from an agreement with the U.S. Postal Service. The Company also concealed certain internal control problems. These false statements caused AuthentiDate stock to trade at artificially inflated levels, reaching as high as $18.69 per share in January 2004. Taking advantage of this artificial inflation, AuthentiDate completed a private placement of its stock in February 2004, raising $69 million in net proceeds. AuthentiDate's CFO and former CEO also took advantage of the inflation, selling 156,000 shares of their AuthentiDate stock for proceeds of $1.7 million.   On April 13, 2005, AuthentiDate announced the dismissal of its accounting firm PricewaterhouseCoopers LLP. Later, on April 29, 2005, AuthentiDate filed a Form 8-K with the SEC disclosing it had hired a new accounting firm and also that on April 15, 2005, its CFO had sent a letter to certain members of the Company's Board of Directors, advising them of the existence of corporate governance issues. The Company hired special counsel to investigate the letter.  Then, the complaint further alleges, on or around May 27, 2005, the Company issued a press release announcing that ""its ongoing discussions with the United States Postal Service regarding the status of its Strategic Alliance Agreement had reached a critical stage with the receipt of a second notice from the Postal Service stating that it had failed to attain the performance metrics required by the Strategic Alliance Agreement during the period February 2005 through April 2005."" On this news, AuthentiDate's stock collapsed to $2.94 per share on volume of 1.28 million shares.  As summarized by the Companys Form 10-Q For The Quarterly Period Ended March 31, 2009, between June and August 2005, six purported shareholder class actions were filed in the United States District Court for the Southern District of New York against our company and certain of its current and former directors and former officers. Plaintiffs in those actions alleged that defendants violated Sections 10(b) and 20(a) of the Securities Exchange Act of 1934 and Sections 11 and 15 of the Securities Act of 1933. The securities law claims were based on the allegations that we failed to disclose that our August 2002 agreement with the USPS contained certain performance metrics, and that the USPS could cancel the agreement if we did not meet these metrics that we did not disclose complete and accurate information as to our performance under, and efforts to renegotiate, the USPS agreement and that when we did disclose that the USPS might cancel the agreement, the market price of our stock declined. On October 5, 2005 the Court consolidated the class actions under the caption In re Authentidate Holding Corp. Securities Litigation., C.A. No. 05 Civ. 5323 (LTS), and appointed the Illinois State Board of Investment as lead plaintiff under the Private Securities Litigation Reform Act. The plaintiff filed an amended consolidated complaint on January 3, 2006, which asserted the same claims as the prior complaints and also alleged that Authentidate violated the federal securities laws by misrepresenting that it possessed certain patentable technology. On July 14, 2006, the Court dismissed the amended complaint in its entirety certain claims were dismissed with prejudice and plaintiff was given leave to replead those claims which were not dismissed with prejudice. In August 2006, plaintiff filed a second amended complaint, which did not assert any claims relating to the company??s patents or under the Securities Act of 1933, but which otherwise was substantially similar to the prior complaint. The second amended complaint sought unspecified monetary damages. The company moved to dismiss the second amended complaint on November 13, 2006. On March 26, 2009, the company reported that the United States District Court for the Southern District of New York dismissed with prejudice the shareholder class actions filed against us and certain of our current and former directors and former officers. This decision does not directly affect the derivative actions filed against the company as discussed below. On April 24, 2009, the lead plaintiff filed a notice of appeal of the decision of the U.S. District Court for the Southern District of New York with the U.S. Court of Appeals for the Second Circuit. As summarized by the Company's Fo",NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0
103639,ADEX,7/10/2006,6/13/2006,2006,7,27,3820,5.4116459,0,ADEX,"This case was first filed on June 7, 2006 in Superior Court and removed to Federal Court by the Notice of Removal on June 13, 2006.  On June 26, 2006, Judge Patti B. Saris denied the motion to remand the action to State Court.  On June 27, 2006, the plaintiff filed a First Amended Complaint.  According to the First Amended Complaint, the shareholder class action was filed on behalf of the public stockholders of ADE Corporation (ADE or the Company) against its directors (the Individual Defendants) and others. Plaintiff alleges that the definitive proxy statement defendants mailed to ADEs shareholders on or about June 16, 2006 in conjunction with the sale of ADE to a subsidiary of KLA-Tencor Corporation (KLA-Tencor) (the Proposed Sale) contains inaccurate statements of material fact and omits to state material facts necessary in order to make the statements made, in light of the circumstances under which they were made, not misleading, in violation of Section 14(a) of the Securities Exchange Act of 1934, 15 U.S.C. ? 78n, and Rule 14 (a)(9) promulgated thereunder, Mass. L. ch. 110A ? 404, Mass. L. ch. 110C ?7, ?9, and the Massachusetts common law. Plaintiff also alleges, inter alia, that the Individual Defendants violated their fiduciary duties of care and loyalty owed ADEs public shareholders under Massachusetts common law in voting to approve the Proposed Sale at an inadequate price and with inadequate protection for ADEs shareholders, and further alleges that each of ADE??s directors had and has a conflict of interest since, inter alia",NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0
103923,ADPI,12/15/2009,12/13/2007,2009,12,733,8090,6.5971456,6,ADPI,"According to a press release dated January 29, 2008, ADPI is a leading provider of business services to multidisciplinary dental group practices in selected markets throughout the United States. Park Dental Group (""PDG"") located in Minneapolis-St. Paul area, was one of the dental groups who had a long-term contract agreement with ADPI, and provided ADPI with significant revenue. Indeed, PDG accounted for 29 percent of ADPI's consolidated net revenue in 2006. The business relationship between ADPI and PDG worked well for a number of years, but disputes arose in 2004. In February 2006, PDG sued ADPI and its subsidiary. On December 12, 2007, in connection with the lawsuit a jury found ADPI and/or its subsidiary liable for breach of contract, breach of implied covenants of good faith and fair dealing, breach of fiduciary duty, and tortious interference with contract and prospective advantage. The jury awarded PDG $88 million to compensate it for the injuries caused it by ADPI and its subsidiary and punitive damages of $42 million. After the announcement of the jury verdict, ADPI's stock plummeted from $19.70 a share on December 11, 2007 to $14.34 on December 12, 2007, to $4.62 on December 13, 2007 after the announcement of the punitive damage award. Specifically, the complaint charges ADPI and certain of its officers and directors with violations of the federal securities laws by issuing a series of material misrepresentations to the market during the Class Period thereby artificially inflating the price of ADPI shares. More specifically, the complaint alleges that ADPI financial statements throughout the Class Period were materially false and misleading because defendants knew that a substantial amount of ADPI's revenue and earnings were obtained by conduct, which was wrongful and tortuous as, found by a jury on December 12, 2007. On May 28, 2008, a notice was filed by a certain individual in regards to the motion to consolidate cases and appoint lead plaintiff and lead counsel. Just as quickly, an order was entered by Judge Richard G. Stearns on May 29, 2008 granting a motion to consolidate cases and to appoint lead counsel and lead plaintiff. However, several motions were terminated in regards to the appointment of lead plaintiff and lead counsel on May 30, 2008. On June 02, 2008, an electronic notice to cancel hearing was filed. Lastly, an amended and consolidated complaint was filed on September 29, 2008.  On March 31, 2008, a motion to consolidate cases, to appoint lead plaintiff and counsel was filed by Operating Engineers Construction Industry and Miscellaneous Pension Fund. On December 15, 2009, a settlement agreement by Operating Engineers Construction Industry and Miscellaneous Pension Fund was entered into the docket. On December 22, 2009, an order of Preliminary Approval was entered in the docket.",NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0
102749,ADRX,6/10/2005,3/4/2003,2005,6,829,2834,6.7202201,2.5,ADRX,"According the docket posted, on October 7, 2005, the Fairness Hearing was held before U.S. District Judge Jose E. Martinez.  On January 13, 2006, the Court entered the Final Judgment Order granting the motion for final approval of settlement, plan of allocation and application for attorneys' fees and reimbursement of expenses.  The case is closed. In a press release dated September 9, 2005, the action has been certified as a class action and a settlement for $2,500,000 in cash has been proposed. A hearing will be held before the Honorable Jose E. Martinez, United States District Court, Southern District of Florida, 301 N. Miami Avenue, Miami, Florida 33128 at 9:30 a.m. on October 7, 2005 (the ""Settlement Fairness Hearing""), to determine whether the proposed settlement of this class action should be approved by the Court as fair, reasonable, and adequate, and to consider the application of Plaintiffs' Counsel for attorneys' fees and reimbursement of expenses. In a press release dated May 14, 2005, generic drug maker Andrx Corp. agreed to pay $2.5 million to settle a shareholder lawsuit related to a drop in the company's stock after negative news about its version of the antidepressant Wellbutrin. Stockholders filed seven lawsuits after Andrx announced on March 5, 2003, that it would take a $26.3 million charge for generic Wellbutrin inventories that weren't sold because of Food and Drug Administration concerns over their expiration dates, according to settlement papers. In documents filed April 22 in U.S. District Court in Miami, Andrx denied any wrongdoing and said it settled the suit after concluding ""that further conduct of the litigation would be protracted and expensive."" The settlement must be approved by a judge at a later hearing, where shareholders' lawyers will ask for $750,000 in fees to be paid from the settlement fund, according to court papers. By the Notice of Pendency of Class Action, the Court consolidated the seven cases by Order dated June 25, 2003. By Order dated September 4, 2003, Judge Martinez appointed Michael J. LoMedico, James Truong, Octavio Suarez and Joseph Stocke to serve as Lead Plaintiffs, and appointed the law firms of Berger & Montague, P.C. and the Law Offices Bernard M. Gross to serve as co-lead counsel, and the law firm of Vianale & Vianale LLP to serve as liaison counsel. Lead Plaintiffs filed their consolidated amended class action complaint on October 20, 2003. The parties briefed and argued Defendants motion to dismiss, and that motion was granted without prejudice by Order dated March 8, 2004. Lead Plaintiffs filed their Second Amended Complaint on March 29, 2004. After the parties had fully briefed Defendants motion to dismiss that complaint, an agreement was reached to engage in mediation in an effort to reach a settlement of the litigation. The parties attended a mediation before Honorable Nicholas Politan (Ret.) on March 8, 2005. As a result of a series of full and frank discussions, the parties reached an agreement in principle to settle the Litigation for the sum of $2,500,000, and subsequently executed a Stipulation of Settlement dated April 22, 2005 reflecti""g the terms of the settlement (the ??Stipulation of Settlement??). The original Complaint, defendants artificially inflated the price of Andrx securities by failing to disclose that Andrx's generic version of Wellbutrin SR had a short expiration period and that the Company's stockpile of this drug would likely expire before the Company had obtained FDA approval to market the drug. Andrx had told investors that it expected FDA approval to market its generic version of  Wellbutrin(R) SR, an antidepressant, by year-end 2002. CEO Lane told  investors on October 31, 2002 that Andrx was ""ntinu[ing] to build  inventories of [Wellbutrin] and other generic products prior to their  launches."" No disclosure was made, however,",NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0
104466,ADUS,3/21/2011,3/26/2010,2011,3,360,9999,5.8861041,3,ADUS,"According to a press release dated March 26, 2010, the Complaint alleges that the Registration Statement was materially false and misleading and/or omitted facts necessary to make the statements made not misleading, including the following: (1) that the Company's accounts receivable included at least $1.5 million in aging receivables that should have been reserved for and (2) that the Company's Home Health revenues were falling short of internal forecasts due to a slowdown in admissions from the Company's Integrated Services program due to the State of Illinois' effort to develop new procedures for integrating care. On March 18, 2010, after the market closed, the Company reported its financial results for the 2009 fiscal fourth quarter and year ending December 31, 2009, and reported a net loss of $3.7 million, or a loss of $0.48 per share for the fourth quarter. The Company indicated that Addus had to increase its bad debt reserve levels by $1.5 million, and that during the fourth quarter the Company's Home Health revenues were short of internal forecasts due to a slowdown in admissions from the Company's Integrated Services program due to the State of Illinois' effort to develop new procedures for integrating care. The following day, shares of the Company's stock declined $2.60 per share, or approximately 29%, to close at $6.30 per share on March 19, 2010. This closing price represented a cumulative loss of $3.70, or 37%, of the value of Addus shares at the IPO price of $10 per share, just months earlier. On June 01, 2010, the Court granted the Plaintiff's motion to be appointed as lead plaintiff and the Plaintiff's selection of lead counsel. On August 10, 2010, an Amended Complaint was filed by the Lead Plaintiff against the defendants.  The defendants responded by filing a motion to dismiss on September 20, 2010. As summarized by the Company's FORM 10-K for the fiscal year ended December 31, 2010, as previously reported, on March 21, 2011, we and the other named defendants entered into a stipulation of settlement with the plaintiffs with respect to the class action, pursuant to which we are to cause $3,000,000 to be paid into a settlement fund. The monetary amount of this settlement is covered by insurance.  On March 22, 2011, the United States District Court for the Northern District of Illinois preliminarily approved the settlement and scheduled a July 21, 2011 hearing to consider, among other things, whether to finally approve the settlement of the class action. If the settlement is given final approval by the court, the class action will be dismissed with prejudice. According to the Final Judgment and Order signed by the Honorable Virginia M. Kendall on July 21, 2011, the motions for settlement and for attorney fees and reimbursement of expenses are granted.  The action is now dismissed with prejudice.  ",FAILURE OF DISCLOSURE (NON-ACCOUNTING),0,0,0,1,0
102156,AET,5/10/2005,6/7/2001,2005,5,1433,6324,7.2675252,5,AET,"According to the latest docket posted, on September 13, 2005, the Court entered the Final Judgment and Order signed by U.S. District Judge Theodore H. Katz.  The action is settled and the case is closed. By the Notice Of Pendency Of Class Action dated May 10, 2005, Aetna has agreed to pay $5,000,000 (the ""Settlement Amount"") into an interest-bearing account for the benefit of the Class.  The litigation, having commenced in November, 2001, was consolidated into a single case in April, 2002. Lead Plaintiffs filed a Consolidated and Amended Class Action Complaint (""the Complaint"") on June 7, 2000. On July 22, 2002, Aetna filed a motion asking the Court to dismiss Lead Plaintiffs' claims. Lead Plaintiffs filed their opposition on September 5, 2002. This motion was fully briefed and oral argument occurred. The motion was still pending at the time of reaching this Settlement. The original complaint charges Aetna and certain of its officers and directors with issuing a series of material misrepresentations to the market before and during the Class Period, thereby artificially inflating the price of Aetna common stock. Specifically, the complaint alleges that Aetna issued statements concerning, among other things, the ability of Aetna to control and monitor its costs and obligations in light of the Company's expected and actual sales. Defendants knew that Aetna's management systems, procedures and controls for monitoring such costs were lacking but they made positive statements about Aetna's management, controls, and abilities to control costs while concealing the defective management systems. Between April 10, 2001 and May 8, 2001, Aetna surprised the market by announcing higher-than-anticipated medical costs during the fourth quarter of 2000 and the first quarter of 2001, faulty record-keeping which caused the payment of millions of dollars in medical claims for former clients, and the absence of necessary management control systems required for management to know Aetna's obligations and proper medical costs. Finally, on June 7, 2001, it was revealed that the cause of much of the Company's financial woes was that: ""Poor record-keeping has resulted in ... paying millions of dollars in medical claims for people whose benefits have expired."" During the Class Period, the value of Aetna shares had been artificially inflated to almost $43.00 per share but, as a result of these disclosures, Aetna's stock price plunged in excess of forty percent to below $25.00 per share.",NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0
103515,AGP,11/13/2006,9/28/2005,2006,11,411,6324,6.0185933,5,AGP,"According to a press release dated February 6, 2007, a federal judge agreed Monday with an analysis by plaintiffs' attorneys that they probably lacked sufficient evidence to win a securities-fraud suit against Amerigroup. Judge Henry C. Morgan then approved a $5 million settlement in the suit filed by a group of shareholders against the Virginia Beach-based managed-care provider. When informed of the agreement that lead plaintiff Illinois State Board of Investment struck with Amerigroup in October, Morgan had not yet decided on an Amerigroup motion seeking a summary judgment, the judge said during a hearing to determine the fairness of their agreement. A summary judgment, which defendants often seek before a suit is scheduled to go trial, would have resolved the case in Amerigroup's favor. The motion ""certainly was something the court would have considered,"" Morgan said. Attorneys for the Illinois investment board expressed doubt about being able to gather enough evidence to defeat Amerigroup's motion or to win at trial when they asked the court in January to approve the settlement. In a press release dated January 24, 2007, Plaintiffs' attorneys who pursued a securities -fraud lawsuit against Amerigroup Corp. are seeking $500,000, a 10 percent share of the $5 million that Amerigroup agreed to pay to end the class - action case. Attorneys for the lead plaintiff, Illinois State Board of Investment, and Amerigroup, a Virginia Beach-based provider of managed care to the indigent, agreed to a settlement in October while sparring over access to additional Amerigroup documents.  In to a press release dated December 28, 2006, the action has been certified as a class action for settlement purposes only and that a Settlement valued at $5 million has been proposed. A hearing will be held before the Honorable Henry Coke Morgan, U.S.D.J., in the Walter E. Hoffman United States Courthouse, 600 Granby Street, Norfolk, Virginia 23510, at 11:00 a.m., on February 5, 2007 to determine whether the proposed Settlement should be approved by the Court as fair, reasonable, and adequate, and to consider the application of Lead Counsel for attorneys' fees and/or reimbursement of expenses. In a press release dated October 27, 2006, Amerigroup Corp., citing the legal expense, inconvenience and distraction of continuing litigation, said Thursday that it agreed to settle a fraud suit brought by shareholders in U.S. District Court in Norfolk. The Illinois State Board of Investment and four other plaintiffs contended that they had been defrauded last year by relying on Amerigroup's financial projections before the company reported a loss for the third quarter of 2005 and its stock price plunged. The plaintiffs, led by the Illinois investment board, alleged that Amerigroup officers had excluded certain costs as a way to make the company's earnings appear stronger than they were. The plaintiffs had demanded a jury trial. Amerigroup, a Virginia Beach-based company that specializes in providing managed care to recipients of Medicaid and other government health care programs, said the settlement calls for creation of a $5 million fund to end all claims against the company. The agreement, it said, also calls for claims brought against individuals named in the suit to be dismissed. The settlement is subject to certain conditions, including execution of a definitive agreement and court approval, Amerigroup said. The cost, it said, will be borne by its insurer. As disclosed by the Companys Form 10-Q for the quarterly period ended September 30, 2006, beginning on October 3, 2005, five purported class action complaints (the Actions) were filed in the United States District Court for the Eastern District.  On January 10, 2006, the Court issued an order (i) consolidating the Actions (ii) setting Illinois State Board of Investment v. AMERIGROUP Corp., et al., Civil Action No. 2:05-cv-701 as lead case for purposes of trial and all pretrial proceedings (iii) appointing Illinois State Board of Investment (ISBI) as Lead Plaintiff and its choice of counsel as Lead Counsel and (iv) ordering that Lead Plaintiff file a Consolidated Amended Complaint (CAC) by February 24, 2006. On February 24, 2006, ISBI filed the CAC, which purports to allege claims on behalf of all persons or entities who purchased the Companys common stock from February 16, 2005 through September 28, 2005. On October 25, 2006, the Company reached an agreement in principle to resolve the Actions by executing a memorandum of understanding (the MOU) with the Lead Plaintiff. Under the terms of the MOU, a settlement fund of $5,000,000 in cash is expected to be created by the Companys insurance carrier to resolve all class claims against the Company. All claims asserted against the individuals named in the lawsuit have been dismissed. Accordingly, the Company is the only remaining defendant. On November 13, 2006, the Company and the Lead Plaintiff executed and filed the definitive settlement agreement with the Court. The definitive settlement agreement is subject to approval by the Court. There can be no assurance that the settlement will receive the Courts approval. The original complaint charges AMERIGROUP and certain of its officers and directors with violations of the Securities Exchange Act of 1934. AMERIGROUP operates as a multi-state managed healthcare company focused on serving people who receive healthcare benefits through publicly sponsored programs, such as Medicaid, State Childrens Health Insurance Program and FamilyCare.  Specifically, the complaint alleges that during the Class Period, defendants caused AMERIGROUPs shares to trade at artificially inflated levels by issuing a series of materially false and misleading statements regarding the Company??s financial statements, business and prospects, specifically by failing to account for at least $23 million in medical costs incurred in prior quarters but not included in the results for those",NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0
