tic,Class_end,Settle_dismiss,year,Month,gap,sic,lgap,settleamt
AAPL,11/8/2006,28/09/2010,2010,9,1509,3571,7.3192024,0
ABIX,16/04/2004,6/5/2005,2005,5,385,5190,5.9532433,900000
ABX,26/09/2002,30/03/2009,2009,3,2377,1041,7.7735944,24000000
ACUR,22/04/2010,31/10/2011,2011,10,557,2834,6.3225651,0
ADAT,27/05/2005,27/01/2011,2011,1,2071,7372,7.635787,1900000
ADEX,13/06/2006,10/7/2006,2006,7,27,3820,5.4116459,0
ADPI,13/12/2007,15/12/2009,2009,12,733,8090,6.5971456,0
ADRX,4/3/2003,10/6/2005,2005,6,829,2834,6.7202201,0
ADUS,26/03/2010,21/03/2011,2011,3,360,9999,5.8861041,3000000
AET,7/6/2001,10/5/2005,2005,5,1433,6324,7.2675252,0
AGP,28/09/2005,13/11/2006,2006,11,411,6324,6.0185933,0
AIG,13/10/2004,30/09/2014,2014,9,3639,6331,8.0385122,0
AIM,17/03/2003,9/8/2005,2005,8,876,3812,6.7753663,5350000
ALLT,2/4/2007,5/8/2010,2010,8,1221,3577,7.1074257,0
ALTH,3/5/2004,21/02/2008,2008,2,1389,2830,7.2363396,0
AMCC,5/2/2001,17/03/2005,2005,3,1501,3670,7.3138866,60000000
AMED,13/05/2010,13/12/2013,2013,12,1310,8080,7.1777825,0
AMKR,1/7/2004,23/12/2008,2008,12,1636,3674,7.4000096,0
AMSC,5/4/2011,20/11/2013,2013,11,960,3670,6.8669333,0
AMZN,30/10/2000,10/3/2005,2005,3,1592,7370,7.3727465,27500000
ANF,13/10/1999,3/11/2006,2006,11,2578,5651,7.8547692,0
ANF,16/08/2005,22/06/2010,2010,6,1771,5651,7.4792995,0
APSG,22/02/2005,2/4/2009,2009,4,1500,3661,7.3132205,2700000
ARB,26/11/2007,14/05/2012,2012,5,1631,7389,7.3969488,0
ARO,3/8/2011,29/01/2014,2014,1,910,5641,6.8134446,0
ARTC,23/01/2008,9/2/2012,2012,2,1478,3845,7.2984452,0
ARTX,14/11/2005,7/1/2010,2010,1,1515,3691,7.3231707,0
ATRC,16/02/2006,25/10/2010,2010,10,1712,3841,7.4454174,0
ATRC,31/10/2008,30/07/2010,2010,7,637,3841,6.4567695,0
ATX,22/04/1999,20/07/2005,2005,7,2281,3951,7.7323694,1500000
AXTI,27/04/2004,24/05/2007,2007,5,1122,3674,7.0228682,0
AYE,8/10/2002,7/2/2006,2006,2,1218,4911,7.1049652,15050000
BAC,17/01/2009,30/11/2012,2012,11,1413,6021,7.2534704,0
BBND,28/09/2007,6/4/2009,2009,4,556,3663,6.3207684,0
BEL,22/07/2004,16/11/2005,2005,11,482,2879,6.1779442,0
BEN,4/2/2004,9/6/2011,2011,6,2682,6282,7.8943181,0
BKR,22/02/2008,3/4/2009,2009,4,406,8711,6.0063534,0
BLUD,29/08/2005,14/05/2007,2007,5,623,2830,6.4345465,2500000
BMY,19/04/2000,2/3/2006,2006,3,2143,2834,7.6699619,185000000
BMY,8/8/2006,18/08/2009,2009,8,1106,2834,7.0085053,0
BPOP,22/01/2009,17/06/2011,2011,6,876,6710,6.7753663,0
BPT,4/8/2006,16/03/2009,2009,3,955,2911,6.8617115,43250000
BRCD,15/05/2005,24/10/2008,2008,10,1258,3572,7.1372786,0
BRCM,26/02/2001,27/06/2005,2005,6,1582,3670,7.3664451,150000000
BRCM,13/07/2006,30/04/2010,2010,4,1387,3670,7.2348986,0
BRKS,22/05/2006,24/06/2008,2008,6,764,3550,6.6385679,0
BX,10/3/2008,28/08/2013,2013,8,1997,6282,7.5994015,0
BXS,25/02/2010,1/6/2012,2012,6,827,6022,6.7178049,0
BZH,27/03/2007,5/5/2009,2009,5,770,1531,6.6463904,0
C,2/11/2007,29/08/2012,2012,8,1762,6021,7.474205,0
CAO,24/03/2006,16/04/2008,2008,4,754,5013,6.6253924,0
CASH,12/10/2010,5/1/2012,2012,1,450,6020,6.1092477,2100000
CBI,3/2/2006,22/01/2008,2008,1,718,1629,6.5764694,10500000
CBM,25/07/2003,20/12/2007,2007,12,1609,2834,7.383368,0
CBR,3/8/2011,26/11/2013,2013,11,846,7371,6.7405195,0
CDNS,22/10/2008,15/06/2011,2011,6,966,7372,6.8731637,0
CECO,2/12/2003,5/11/2007,2007,11,1434,8200,7.2682228,0
CECO,1/11/2011,4/11/2013,2013,11,734,8200,6.5985088,0
CERS,3/9/2003,8/9/2006,2006,9,1101,2830,7.003974,0
CGA,1/9/2010,18/03/2014,2014,3,1294,2873,7.1654935,0
CHE,16/11/2011,6/2/2014,2014,2,813,8082,6.7007313,0
CHKP,4/4/2002,2/3/2007,2007,3,1793,7370,7.4916453,0
CHTR,17/07/2002,15/02/2005,2005,2,944,4840,6.8501263,146250000
CI,24/10/2002,24/01/2007,2007,1,1553,6324,7.3479438,93000000
CISG,14/09/2011,19/03/2014,2014,3,917,6411,6.8211074,0
CIT,5/3/2008,13/03/2012,2012,3,1469,6021,7.2923369,0
CLZR,21/08/2006,16/01/2009,2009,1,879,3840,6.7787848,0
CMA,1/10/2002,29/06/2005,2005,6,1002,6021,6.9097533,15000000
CMS,10/5/2002,22/05/2007,2007,5,1838,4931,7.5164332,200000000
CNC,15/07/2002,18/10/2010,2010,10,3017,6324,8.0120182,0
CNX,18/07/2002,2/2/2007,2007,2,1660,1222,7.4145727,2700000
COO,21/11/2005,29/07/2010,2010,7,1711,3851,7.4448333,27000000
CRA,14/03/2000,18/03/2010,2010,3,3656,0,8.0385122,11000000
CRDS,26/07/2000,14/02/2005,2005,2,1664,3570,7.4169798,4350000
CRI,24/07/2007,21/12/2011,2011,12,1611,2341,7.3846102,0
CRN,5/3/2002,26/08/2005,2005,8,1270,8744,7.1467724,0
CROX,31/10/2007,14/05/2012,2012,5,1657,3021,7.4127641,0
CRY,26/06/2002,29/08/2005,2005,8,1160,8099,7.0561752,23250000
CS,19/02/2008,10/3/2011,2011,3,1115,6022,7.0166097,0
CSCO,6/2/2001,28/08/2006,2006,8,2029,3674,7.6152983,99250000
CTIC,8/2/2010,14/02/2012,2012,2,736,2834,6.6012301,0
CVS,27/06/2001,6/6/2005,2005,6,1440,5912,7.2723985,110000000
CVTX,1/8/2003,8/12/2006,2006,12,1225,2836,7.1106963,0
CWP,6/12/2002,13/05/2005,2005,5,889,4813,6.7900972,0
DBD,15/01/2008,8/11/2013,2013,11,2124,3578,7.6610565,0
DELL,8/9/2006,16/12/2009,2009,12,1195,3570,7.0859013,0
DGSE,17/04/2012,3/7/2013,2013,7,442,5094,6.09131,0
DQE,30/04/2001,15/07/2005,2005,7,1537,4911,7.3375878,12000000
DSGX,6/5/2004,1/6/2005,2005,6,391,7370,5.9687076,1500000
DYII,18/12/2003,18/10/2006,2006,10,1035,8080,6.9421568,0
DYN,24/04/2002,10/3/2005,2005,3,1051,4922,6.9574976,473000000
EP,29/05/2002,26/10/2006,2006,10,1611,1311,7.3846102,0
EPAX,23/10/2007,13/07/2011,2011,7,1359,4725,7.2145042,7500000
ES,14/10/2008,19/11/2012,2012,11,1497,4955,7.3112183,0
ESST,12/9/2002,30/04/2007,2007,4,1691,3670,7.4330754,3500000
FALC,29/09/2010,6/5/2013,2013,5,950,3572,6.856462,0
FARO,3/11/2005,2/6/2008,2008,6,942,3820,6.8480053,6875000
FAZ,9/4/2009,31/01/2013,2013,1,1393,6726,7.2392149,0
FBP,25/08/2005,24/07/2007,2007,7,698,6022,6.5482192,0
FFHL,16/10/2007,16/09/2010,2010,9,1066,3081,6.9716687,0
FIRE,9/4/2007,11/2/2009,2009,2,674,7375,6.5132303,3008170
FITB,17/06/2008,20/12/2012,2012,12,1647,6711,7.4067106,0
FLR,18/02/1997,29/03/2005,2005,3,2961,1623,7.9932823,18000000
FLS,27/09/2002,18/12/2009,2009,12,2639,3561,7.8781552,0
FRX,1/9/2004,23/12/2008,2008,12,1574,2834,7.3613753,0
GA,19/11/2007,27/07/2011,2011,7,1346,7389,7.2048926,13000000
GCT,10/3/2006,9/11/2007,2007,11,609,6513,6.4118185,0
GE,27/02/2009,29/04/2013,2013,4,1522,3511,7.3277807,0
GIL,29/04/2008,2/8/2010,2010,8,825,2252,6.7153835,0
GILD,28/10/2003,28/06/2010,2010,6,2435,2830,7.7977018,8250000
GM,16/03/2005,17/09/2008,2008,9,1281,3711,7.1553965,0
GNSS,14/06/2002,14/06/2006,2006,6,1461,5060,7.2868762,1750000
GRO,8/4/2008,9/8/2010,2010,8,853,115,6.7487597,0
GRVY,12/5/2005,17/08/2007,2007,8,827,7371,6.7178049,10000000
GSAT,5/2/2007,11/9/2009,2009,9,949,4899,6.8554087,0
