tic,settledate,cret,car,bhar,number,classend,ceyr,month,gap,lgap,settleamt,year,styr,gvkey,date,fyear_st,at_st,capx_st,ceq_st,dltt_st,dp_st,dt_st,ebit_st,revt_st,setp_st,txpd_st,wcap,xintd_st,mkvalt_st,sic,f_month,wcap_1_st,dwcap_st,ebit_1_st,fcf_st,fcf_1_st,size_st,debtratio_st,M2B_st,classification,Accounting,Secondary Market & Trading,Financial Intermediatary,Non-Accounting disclsoure and misrepresentation,Others,fyear_ce,at_ce,capx_ce,ceq_ce,dltt_ce,dp_ce,dt_ce,ebit_ce,revt_ce,setp_ce,txpd_ce,wcap_ce,xintd_ce,mkvalt_ce,wcap_1_ce,dwcap_ce,ebit_1_ce,fcf_ce,fcf_1_ce,size_ce,debtratio_ce,M2B_ce,PRC,VOL,SHROUT,sprtrn,vt,share turnover,abnormal volume,abnormal share turnover,skewness
ACUR,2011-10-31,-22.988503100000006,-46.6370168,-47.1035247,104549,2010-04-22,2010,10,557,6.3225650999999985,1.5,2011,2011,11929.0,2011-12-31,2011.0,37.173,0.131,36.643,0.0,0.131,,10.534,20.466,,0.284,35.59900000000001,0.0,158.1668,2834.0,12.0,23.289,12.310000000000002,-12.724,-2.0600000000000023,-7.189000000000003,3.6155826913024662,0.0,4.254883921125549,FAILURE OF DISCLOSURE (NON-ACCOUNTING),0,0,0,1,0,2010.0,25.493,0.041,24.341,0.0,0.135,,-12.724,3.3110000000000004,,0.02,23.289,0.0,145.2891,28.75,-5.460999999999999,-13.5,-7.189000000000003,-6.457000000000001,3.2384039046757462,0.0,5.699176244459263,4.44,76260.0,45319.0,-2.4737999999999998,218623.51666666666,4.824102841339541,-142363.51666666666,-3.141364916848709,0
AYE,2006-02-07,1.68067753,-6.920414400000001,-7.4028448000000004,102591,2002-10-08,2002,2,1218,7.1049652000000005,15.05,2006,2006,1279.0,2006-12-31,2006.0,8552.446,447.325,2080.395,3409.993,273.134,,732.32,3121.489,,3.204,88.64299999999999,,7591.7235,4911.0,12.0,-112.636,201.27900000000002,566.047,353.64600000000013,976.5739999999997,9.053972602888537,0.3987155253596457,0.8876669317760089,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,34.82,1015200.0,162853.0,-0.8095,1057122.5,6.491268198927868,-41922.5,-0.25742540819020837,0
CLZR,2009-01-16,-15.254233900000001,-25.1881155,-32.7097318,103974,2006-08-21,2006,1,879,6.7787848,3.85,2009,2009,12390.0,2009-06-30,2009.0,123.17,0.8,77.444,0.0,2.632,,-17.508,116.58,,0.491,56.42100000000001,0.0,23.1818,3845.0,6.0,68.462,-12.040999999999995,-15.543,-4.126000000000002,-17.167,4.813565514953393,0.0,0.1882097913452951,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2006.0,149.17600000000004,0.715,100.012,0.0,0.5710000000000001,,20.673,149.466,,9.834,78.582,0.0,375.311,70.378,8.203999999999994,14.493,2.4910000000000085,3.353000000000001,5.005126816921792,0.0,2.515893977583525,0.411,342098.0,22706.0,0.7562,152778.95,6.728571743151591,189319.05,8.337842420505593,0
FBP,2007-07-24,-14.4465293,-0.891949,-0.8101879000000001,103530,2005-08-25,2005,7,698,6.5482192,74.25,2007,2007,16821.0,2007-12-31,2007.0,17186.931,,871.546,443.36,20.963,,,1236.012,,,,,674.3542,6020.0,12.0,,,208.021,,,9.751904548406383,0.025796344908814727,0.03923645239513675,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2005.0,19917.651,,647.741,693.315,19.121,,,1130.667,,,,,1003.6588,,,260.566,,,9.899361602498534,0.034809074624311875,0.050390420034973,9.9,775100.0,83254.0,-1.9804,465731.60833333334,5.594104887853236,309368.39166666666,3.715958292294264,-1
AIM,2005-08-09,17.611020149999995,28.08997442,25.13324778,102920,2003-03-17,2003,8,876,6.7753663,5.35,2005,2005,1173.0,2005-01-31,2004.0,18.463,0.629,10.484000000000002,2.794,0.654,3.037,0.071,30.721,0.197,0.302,9.121,,20.7813,3812.0,1.0,,,,,,2.9157687294136063,0.15132968639982666,1.1255646427991115,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,7.15,7000.0,3921.0,0.6745,9400.0,2.3973476154042337,-2400.0,-0.612088752869166,0
KO,2008-07-03,-2.7600404999999997,-0.5838929,-0.6141269,101721,2000-03-06,2000,7,3041,8.0199413,137.5,2008,2008,3144.0,2008-12-31,2008.0,40519.0,1968.0,20472.0,2781.0,1066.0,3246.0,8796.0,31944.0,,1942.0,-812.0,,104664.24,2086.0,12.0,-1120.0,308.0,7520.0,5644.0,5959.0,10.609526278887305,0.0686344677805474,2.5830904020336143,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,51.48,7453700.0,2322806.0,0.1094,10787087.5,4.643989855373199,-3333387.5,-1.435069265362669,0
CDNS,2011-06-15,-3.3175392999999995,1.7254699199999997,1.76379856,104138,2008-10-22,2008,6,966,6.8731637,38.0,2011,2011,13421.0,2011-12-31,2011.0,1761.269,31.421,411.13,131.92,82.316,425.981,123.335,1149.835,,18.961,48.617,,2835.8720000000008,7372.0,12.0,181.858,-133.241,7.186,288.5100000000001,296.065,7.473789850947463,0.07490054046258691,1.6101299687895492,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,2008.0,1678.714,97.29,101.968,500.17800000000005,122.085,500.17800000000005,-158.799,1038.614,,33.647,390.338,,943.7566,744.076,-353.73800000000006,310.907,186.08700000000002,336.865,7.425783303080332,0.2979530759855461,0.5621902241835119,10.09,3465801.0,268942.0,-1.7431999999999999,2976883.066666667,11.068866397463642,488917.9333333331,1.8179307558259146,0
CBM,2007-12-20,3.67299068,22.53913152,20.66685334,102894,2003-07-25,2003,12,1609,7.383367999999999,3.15,2007,2007,13839.0,2007-12-31,2007.0,373.462,25.927,102.057,101.6,19.799,101.6,-1.17,252.245,,17.869,69.148,,243.1457,2833.0,12.0,117.616,-48.468,35.199,23.301,31.499999999999986,5.922816259102466,0.2720490973646583,0.6510587422549015,FAILURE OF DISCLOSURE ACCOUNTING IRREGULARITIES,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,8.59,146900.0,28990.0,0.49,294190.0,10.147982062780269,-147290.0,-5.0807174887892375,0
WM,2011-11-04,-7.9693053,-11.9187565,-11.666311300000002,103865,2007-10-31,2007,6,1338,7.1989312000000005,208.5,2011,2011,14477.0,2011-12-31,2011.0,22569.0,1324.0,6070.0,9125.0,1319.0,9756.0,2082.0,13378.0,-24.0,306.0,-689.0,,15064.0017,4953.0,12.0,-3.0,-686.0,2097.0,2457.0,1839.0,10.02433256222833,0.40431565421596,0.6674642961584475,CREDIT CRISIS (FINANCIAL INSTITUTION),0,0,1,0,0,2007.0,20175.0,1211.0,5792.0,8008.0,1342.0,8337.0,2259.0,13312.0,-5.0,416.0,-118.0,,16338.8877,-86.0,-32.0,2074.0,2006.0,1884.0,9.91219949313815,0.3969268897149938,0.8098581263940521,31.5,5111800.0,460330.0,-0.628,5214968.333333333,11.328760526868406,-103168.33333333302,-0.22411820505579264,0
WM,2012-06-05,-1.3102308,-1.3131455,-1.2967708,103166,2004-06-28,2004,6,2655,7.884200099999998,41.5,2012,2012,14477.0,2012-12-31,2012.0,23097.0,1510.0,6354.0,9173.0,1385.0,9916.0,2011.0,13649.0,,366.0,-613.0,,15662.7828,4953.0,12.0,-689.0,76.0,2082.0,1444.0,2457.0,10.047458017946159,0.3971511451703684,0.6781306143655021,NON-ACCOUNTING MISREPRESENTATIONS,0,0,0,1,0,2004.0,20905.0,1258.0,5971.0,8182.0,1336.0,8566.0,1685.0,12516.0,,136.0,-386.0,,17072.1772,,,288.051,,,9.947743643790666,0.3913896197082038,0.8166552116718487,32.2,4861000.0,462671.0,0.5727,2903625.0,6.275787762794729,1957375.0,4.230597984312827,0
